,vehicle-name,vehicle-id,start-latitude,start-longitude,end-latitude,end-longitude,start-time,end-time,capacity,speed-multiplier,cost-per-km,cost-per-hour,waiting-cost-per-hour,fixed-cost,skills,number-of-vehicles,day,Depor
0,X4247,MWD-5910-1_1_3,53.45417787,-113.4393666,53.45417787,-113.4393666,78,86.75,10000,1,0.001,1,0.5,100,neighbourhood,1,3,MWD
0,X4247,MWD-5910-1_1_4,53.45417787,-113.4393666,53.45417787,-113.4393666,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,MWD
0,X4247,MWD-5910-1_1_5,53.45417787,-113.4393666,53.45417787,-113.4393666,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5,MWD
0,X4247,MWD-5910-1_1_6,53.45417787,-113.4393666,53.45417787,-113.4393666,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6,MWD
0,X4247,MWD-5910-1_1_0,53.45417787,-113.4393666,53.45417787,-113.4393666,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0,MWD
0,T4090,MWD-5910-2_1_3,53.45417787,-113.4393666,53.45417787,-113.4393666,78,86.75,10000,1,0.001,1,0.5,100,neighbourhood,1,3,MWD
0,T4090,MWD-5910-2_1_4,53.45417787,-113.4393666,53.45417787,-113.4393666,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,MWD
0,T4090,MWD-5910-2_1_5,53.45417787,-113.4393666,53.45417787,-113.4393666,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5,MWD
0,T4090,MWD-5910-2_1_6,53.45417787,-113.4393666,53.45417787,-113.4393666,150,158.75,10000,1,0.001,1,0.5,100,roadway,1,6,MWD
0,T4090,MWD-5910-2_1_0,53.45417787,-113.4393666,53.45417787,-113.4393666,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0,MWD
0,R4008,MWD-5910-3_1_3,53.45417787,-113.4393666,53.45417787,-113.4393666,78,86.75,10000,1,0.001,1,0.5,100,neighbourhood,1,3,MWD
0,R4008,MWD-5910-3_1_4,53.45417787,-113.4393666,53.45417787,-113.4393666,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,MWD
0,R4008,MWD-5910-3_1_5,53.45417787,-113.4393666,53.45417787,-113.4393666,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5,MWD
