Id,address,cluster,end-time,job-id,latitude,longitude,name,quantity,required-skills,service-duration,start-time,type,priority,Level,raw-id,day
181.0_0_B1,109 AVE-65 ST,,5.0d 14:45:00,,53.5572473,-113.4252652,CAPILANO,1,neighbourhood,0.55,5.0d 06:00:00,D,1,B1,181.0_0,5.0
270.0_0_B1,89 Ave & 71 St,,6.0d 14:45:00,,53.52290707,-113.4354382,KENILWORTH,1,neighbourhood,2.255,6.0d 06:00:00,D,1,B1,270.0_0,6.0
309.0_0_B1,82 ST-103 AVE,,6.0d 14:45:00,,53.54472687,-113.4532601,FOREST HEIGHTS,1,neighbourhood,0.84,6.0d 06:00:00,D,1,B1,309.0_0,6.0
511.0_0_B1,85 ST-STRATHEARN DRIVE,,6.0d 14:45:00,,53.53669821,-113.4618982,CLOVERDALE,1,neighbourhood,4.0115,6.0d 06:00:00,D,1,B1,511.0_0,6.0
568.0_0_B1,50 ST BTWN 76 & 82 AVE,,6.0d 14:45:00,,53.51698107,-113.4182013,GAINER INDUSTRIAL,1,neighbourhood,0.1975,6.0d 06:00:00,D,1,B1,568.0_0,6.0
590.0_0_B1,47 ST & 106B AVE,,10.0d 14:45:00,,53.55320893,-113.4135622,GOLD BAR,1,neighbourhood,0.765,10.0d 06:00:00,D,1,B1,590.0_0,10.0
596.0_0_B1,50 St: 70 Ave - Whitemud Drive Whitemud Drive,,1.0d 14:45:00,,53.49914123,-113.4180896,PYLYPOW INDUSTRIAL,1,roadway,0.444,1.0d 06:00:00,D,1,B1,596.0_0,1.0
597.0_0_B1,W/S 76 ST: 38 AVE - WHITEMUD DRIVE,,1.0d 14:45:00,,53.48042908,-113.4525123,TWEDDLE PLACE,1,roadway,1.197,1.0d 06:00:00,D,1,B1,597.0_0,1.0
777.0_0_B1,Road Allowance,,8.0d 14:45:00,,53.44096431,-113.3942473,CRAWFORD PLAINS,1,roadway,0.985,8.0d 06:00:00,D,1,B1,777.0_0,8.0
789.0_0_B1,NORTH SIDE 28 AVE & LAKEWOOD RD WEST -,,9.0d 14:45:00,,53.45895751,-113.4568045,TIPASKAN,1,roadway,0.1715,9.0d 06:00:00,D,1,B1,789.0_0,9.0
883.0_0_B1,9812 96A Street NW,,7.0d 14:45:00,,53.53870576,-113.4795739,CLOVERDALE,1,neighbourhood,3.5,7.0d 06:00:00,D,1,B1,883.0_0,7.0
947.0_0_B1,ARGYLL RD N/S BTWN 86 ST & 83 ST,,11.0d 14:45:00,,53.50190593,-113.4560504,ARGYLL,1,neighbourhood,0.31,11.0d 06:00:00,D,1,B1,947.0_0,11.0
976.0_0_B1,SOUTH SIDE 23 AVE BTWN 38-34 ST,,8.0d 14:45:00,,53.45366325,-113.3962258,BISSET,1,roadway,0.635,8.0d 06:00:00,D,1,B1,976.0_0,8.0
979.0_0_B1,WEST SIDE MILLWOODS RD-BTWN-28-23 AVE,,7.0d 14:45:00,,53.45526058,-113.448311,MEYONOHK,1,roadway,0.343,7.0d 06:00:00,D,1,B1,979.0_0,7.0
996.0_0_B1,GREENOCH CRESCENT-W 50 ST-GOLF COURS,,5.0d 14:45:00,,53.47794898,-113.4207306,GREENVIEW,1,neighbourhood,0.3,5.0d 06:00:00,D,1,B1,996.0_0,5.0
1313.0_0_B1,37-38 AVE & 32-34 ST,,3.0d 14:45:00,,53.47213596,-113.3919408,LARKSPUR,1,neighbourhood,0.8,3.0d 06:00:00,D,1,B1,1313.0_0,3.0
1450.0_0_B1,BTWN-85-91 ST,,4.0d 14:45:00,,53.46912852,-113.4624634,RICHFIELD,1,neighbourhood,1.0835,4.0d 06:00:00,D,1,B1,1450.0_0,4.0
1493.0_0_B1,EAST OF 80 ST & SOUTH OF 10 AVE,,10d 14:45:00,,53.43871656,-113.4530145,MENISA,1,neighbourhood,1.12,10d 06:00:00,D,10,B1,1493.0_0,
1612.0_0_B1,MILLBOURNE ROAD E-70 ST,,10.0d 14:45:00,,53.4792581,-113.4489091,MICHAELS PARK,1,neighbourhood,3.75,10.0d 06:00:00,D,1,B1,1612.0_0,10.0
1623.0_0_B1,NORTH SIDE 23 AVE-BTWN MILLWOODS RD E- 38 ST,,0.0d 14:45:00,,53.45485526,-113.4033495,BISSET,1,roadway,0.9,0.0d 06:00:00,D,1,B1,1623.0_0,0.0
1778.0_0_B1,11 AVE-58 ST,,5.0d 14:45:00,,53.44264997,-113.4290041,SAKAW,1,neighbourhood,2.215,5.0d 06:00:00,D,1,B1,1778.0_0,5.0
1814.0_0_B1,43A AVE - WHITEMUD DRIVE WEST OF 23 ST,,3.0d 14:45:00,,53.48249405,-113.3806965,LARKSPUR,1,neighbourhood,1.55,3.0d 06:00:00,D,1,B1,1814.0_0,3.0
1825.0_0_B1,76 AVE & 89 - 95 ST,,3.0d 14:45:00,,53.51228056,-113.4682563,MILL CREEK RAVINE SOUTH,1,neighbourhood,0.2285,3.0d 06:00:00,D,1,B1,1825.0_0,3.0
1837.0_0_B1,SOUTH SIDE&C 23 AVE-BTWN 91-85 ST,,7.0d 14:45:00,,53.45169814,-113.4632398,SATOO,1,roadway,0.177,7.0d 06:00:00,D,1,B1,1837.0_0,7.0
1854.0_0_B1,80 ST-76 AVE,,6.0d 14:45:00,,53.51080393,-113.4492502,AVONMORE,1,neighbourhood,1.4715,6.0d 06:00:00,D,1,B1,1854.0_0,6.0
