Id,job-id,type,name,address,latitude,longitude,service-duration,start-time,end-time,quantity,required-skills,Level,priority,raw-id,day
10008_0_B1,,D,Windermere,East of Whispering River Dr.,53.450275686,-113.609523269,0.2291,3.0d 06:00:00,3.0d 14:45:00,1,neighbourhood,B1,1,10008_0,3
10008_1_B1,,D,Windermere,East of Whispering River Dr.,53.450275686,-113.609523269,0.2291,11d 06:00:00,20d 14:45:00,1,neighbourhood,B1,1,10008_1,
10018_0_B1,,D,Windermere,738 Windermere Wynd,53.441214417,-113.626032458,0.2605,3.0d 06:00:00,3.0d 14:45:00,1,neighbourhood,B1,1,10018_0,3
10018_1_B1,,D,Windermere,738 Windermere Wynd,53.441214417,-113.626032458,0.2605,13.0d 06:00:00,13.0d 14:45:00,1,neighbourhood,B1,1,10018_1,13
1003_0_B1,,D,Haddow,1503 HASWELL CLOSE,53.45033688,-113.5981467,0.294,5.0d 06:00:00,5.0d 14:45:00,1,neighbourhood,B1,1,1003_0,5
1003_1_B1,,D,Haddow,1503 HASWELL CLOSE,53.45033688,-113.5981467,0.294,17.0d 06:00:00,17.0d 14:45:00,1,neighbourhood,B1,1,1003_1,17
10032_0_B1,,D,Ambleside,3604 Allan Dr SW,53.42862657,-113.594079171,0.33,5.0d 06:00:00,5.0d 14:45:00,1,neighbourhood,B1,1,10032_0,5
10032_1_B1,,D,Ambleside,3604 Allan Dr SW,53.42862657,-113.594079171,0.33,13.0d 06:00:00,13.0d 14:45:00,1,neighbourhood,B1,1,10032_1,13
10033_0_B1,,D,Chappelle Area,3346 Cutler Crescent,53.40656046,-113.566904756,0.277,10.0d 06:00:00,10.0d 14:45:00,1,neighbourhood,B1,1,10033_0,10
10033_1_B1,,D,Chappelle Area,3346 Cutler Crescent,53.40656046,-113.566904756,0.277,19.0d 06:00:00,19.0d 14:45:00,1,neighbourhood,B1,1,10033_1,19
10074_0_B1,,D,Tamarack,17 St and 28 Ave NW,53.4588433,-113.3685124,0.105,4.0d 06:00:00,4.0d 14:45:00,1,neighbourhood,B1,1,10074_0,4
10074_1_B1,,D,Tamarack,17 St and 28 Ave NW,53.4588433,-113.3685124,0.105,12.0d 06:00:00,12.0d 14:45:00,1,neighbourhood,B1,1,10074_1,12
10075_0_B1,,D,Tamarack,17 St and 28 Ave NW,53.46065597,-113.3685558,0.2325,4.0d 06:00:00,4.0d 14:45:00,1,neighbourhood,B1,1,10075_0,4
10075_1_B1,,D,Tamarack,17 St and 28 Ave NW,53.46065597,-113.3685558,0.2325,11.0d 06:00:00,11.0d 14:45:00,1,neighbourhood,B1,1,10075_1,11
10085_0_B1,,D,Chappele Area,1137 Chappelle Blvd SW,53.40598414,-113.5730267,0.617,10.0d 06:00:00,10.0d 14:45:00,1,neighbourhood,B1,1,10085_0,10
10085_1_B1,,D,Chappele Area,1137 Chappelle Blvd SW,53.40598414,-113.5730267,0.617,11d 06:00:00,20d 14:45:00,1,neighbourhood,B1,1,10085_1,
10092_0_B1,,D,Windermere,16 Ave NW on both sides of Whispering River Dr NW,53.44669002,-113.6096593,0.1795,4.0d 06:00:00,4.0d 14:45:00,1,neighbourhood,B1,1,10092_0,4
10092_1_B1,,D,Windermere,16 Ave NW on both sides of Whispering River Dr NW,53.44669002,-113.6096593,0.1795,13.0d 06:00:00,13.0d 14:45:00,1,neighbourhood,B1,1,10092_1,13
10104_0_B1,,D,Chappele Area,5280 Chappelle Road SW,53.40102631,-113.5725043,0.579,10.0d 06:00:00,10.0d 14:45:00,1,neighbourhood,B1,1,10104_0,10
10104_1_B1,,D,Chappele Area,5280 Chappelle Road SW,53.40102631,-113.5725043,0.579,19.0d 06:00:00,19.0d 14:45:00,1,neighbourhood,B1,1,10104_1,19
1016_0_B1,,D,Rideau Park,South side - CPR TRACKS - 111 ST,53.481138124,-113.507437249,1.1595,2.0d 06:00:00,2.0d 14:45:00,1,roadway,B1,1,1016_0,2
1016_1_B1,,D,Rideau Park,South side - CPR TRACKS - 111 ST,53.481138124,-113.507437249,1.1595,16.0d 06:00:00,16.0d 14:45:00,1,roadway,B1,1,1016_1,16
1017.0_0_B1,,D,OTTEWELL,97 AVE-66 ST,53.53593095,-113.4310656,0.019,3.0d 06:00:00,3.0d 14:45:00,1,neighbourhood,B1,1,1017.0_0,3
1017.0_1_B1,,D,OTTEWELL,97 AVE-66 ST,53.53593095,-113.4310656,0.019,12.0d 06:00:00,12.0d 14:45:00,1,neighbourhood,B1,1,1017.0_1,12
102_0_B1,,D,Terwilleger TOWNE,1960 TOMLINSON SQUARE,53.45203263,-113.5855441,0.0725,6.0d 06:00:00,6.0d 14:45:00,1,neighbourhood,B1,1,102_0,6
102_1_B1,,D,Terwilleger TOWNE,1960 TOMLINSON SQUARE,53.45203263,-113.5855441,0.0725,17.0d 06:00:00,17.0d 14:45:00,1,neighbourhood,B1,1,102_1,17
1021_0_A2,,D,Allendale,63 AVE-106 ST,53.50132503,-113.5031567,0.745,5.0d 06:00:00,5.0d 14:45:00,1,neighbourhood,A2,1,1021_0,5
1021_1_A2,,D,Allendale,63 AVE-106 ST,53.50132503,-113.5031567,0.745,12.0d 06:00:00,12.0d 14:45:00,1,neighbourhood,A2,1,1021_1,12
1021_2_A2,,D,Allendale,63 AVE-106 ST,53.50132503,-113.5031567,0.745,19.0d 06:00:00,19.0d 14:45:00,1,neighbourhood,A2,1,1021_2,19
103.0_0_B1,,D,AVONMORE,89 ST-75 AVE,53.51147159,-113.4623148,0.024,6.0d 06:00:00,6.0d 14:45:00,1,neighbourhood,B1,1,103.0_0,6
103.0_1_B1,,D,AVONMORE,89 ST-75 AVE,53.51147159,-113.4623148,0.024,13.0d 06:00:00,13.0d 14:45:00,1,neighbourhood,B1,1,103.0_1,13
1042_0_B1,,D,MacEwan,from #484 MacEwan Road to #2733 Miles Place,53.42625235,-113.5373578,0.615,12.0d 06:00:00,12.0d 14:45:00,1,neighbourhood,B1,1,1042_0,12
1042_1_B1,,D,MacEwan,from #484 MacEwan Road to #2733 Miles Place,53.42625235,-113.5373578,0.615,20.0d 06:00:00,20.0d 14:45:00,1,neighbourhood,B1,1,1042_1,20
1049_0_A2,,D,Blue Quill,SADDLEBACK ROAD-112 ST & 25 AVE-SADDLEBACK ROAD,53.4590891,-113.5247067,2.403,5d 06:00:00,6d 14:45:00,1,neighbourhood,A2,1,1049_0,
1049_1_A2,,D,Blue Quill,SADDLEBACK ROAD-112 ST & 25 AVE-SADDLEBACK ROAD,53.4590891,-113.5247067,2.403,12d 06:00:00,13d 14:45:00,1,neighbourhood,A2,1,1049_1,
1049_2_A2,,D,Blue Quill,SADDLEBACK ROAD-112 ST & 25 AVE-SADDLEBACK ROAD,53.4590891,-113.5247067,2.403,19d 06:00:00,20d 14:45:00,1,neighbourhood,A2,1,1049_2,
106.0_0_B1,,D,RITCHIE,98 ST-77 AVE,53.51372262,-113.4813008,0.096,3.0d 06:00:00,3.0d 14:45:00,1,neighbourhood,B1,1,106.0_0,3
106.0_1_B1,,D,RITCHIE,98 ST-77 AVE,53.51372262,-113.4813008,0.096,13.0d 06:00:00,13.0d 14:45:00,1,neighbourhood,B1,1,106.0_1,13
1075.0_0_B1,,D,OTTEWELL,SOUTH SIDE 98 AVE: 57 ST-TERRACE ROAD,53.53849365,-113.4265287,0.0325,6.0d 06:00:00,6.0d 14:45:00,1,neighbourhood,B1,1,1075.0_0,6
1075.0_1_B1,,D,OTTEWELL,SOUTH SIDE 98 AVE: 57 ST-TERRACE ROAD,53.53849365,-113.4265287,0.0325,17.0d 06:00:00,17.0d 14:45:00,1,neighbourhood,B1,1,1075.0_1,17
1095_0_B1,,D,Calgary Trail North,South side - CPR TRACKS - Gateway Blvd South,53.480068929,-113.494374941,0.1735,9.0d 06:00:00,9.0d 14:45:00,1,roadway,B1,1,1095_0,9
1095_1_B1,,D,Calgary Trail North,South side - CPR TRACKS - Gateway Blvd South,53.480068929,-113.494374941,0.1735,16.0d 06:00:00,16.0d 14:45:00,1,roadway,B1,1,1095_1,16
1135.0_0_B1,,D,WILD ROSE,36A AVE EAST OF 30 ST,53.46996222,-113.3848451,0.0735,4.0d 06:00:00,4.0d 14:45:00,1,neighbourhood,B1,1,1135.0_0,4
1135.0_1_B1,,D,WILD ROSE,36A AVE EAST OF 30 ST,53.46996222,-113.3848451,0.0735,12.0d 06:00:00,12.0d 14:45:00,1,neighbourhood,B1,1,1135.0_1,12
1149_0_B1,,D,Duggan,Calgry Trail South - 34 Ave. to 42 Ave.,53.4715742,-113.4956654,1.591,0.0d 06:00:00,0.0d 14:45:00,1,neighbourhood,B1,1,1149_0,0
1149_1_B1,,D,Duggan,Calgry Trail South - 34 Ave. to 42 Ave.,53.4715742,-113.4956654,1.591,12.0d 06:00:00,12.0d 14:45:00,1,neighbourhood,B1,1,1149_1,12
1150_0_B1,,D,Aspen Gardens,41A AVE - 123 ST,53.48048827,-113.5481724,0.7975,0d 06:00:00,10d 14:45:00,1,neighbourhood,B1,1,1150_0,
1150_1_B1,,D,Aspen Gardens,41A AVE - 123 ST,53.48048827,-113.5481724,0.7975,11d 06:00:00,20d 14:45:00,1,neighbourhood,B1,1,1150_1,
1151_0_A2,,D,Parkallen,65 AVE-111 ST,53.50271269,-113.5182882,0.715,5.0d 06:00:00,5.0d 14:45:00,1,neighbourhood,A2,1,1151_0,5
1151_1_A2,,D,Parkallen,65 AVE-111 ST,53.50271269,-113.5182882,0.715,12.0d 06:00:00,12.0d 14:45:00,1,neighbourhood,A2,1,1151_1,12
1151_2_A2,,D,Parkallen,65 AVE-111 ST,53.50271269,-113.5182882,0.715,20.0d 06:00:00,20.0d 14:45:00,1,neighbourhood,A2,1,1151_2,20
1167.0_0_B1,,D,TWEDDLE PLACE,ALONG MILLBOURNE RD W-BTWN-76-85 ST,53.48079517,-113.4552256,0.0595,3.0d 06:00:00,3.0d 14:45:00,1,neighbourhood,B1,1,1167.0_0,3
1167.0_1_B1,,D,TWEDDLE PLACE,ALONG MILLBOURNE RD W-BTWN-76-85 ST,53.48079517,-113.4552256,0.0595,11.0d 06:00:00,11.0d 14:45:00,1,neighbourhood,B1,1,1167.0_1,11
1168_0_B1,,D,Belgravia,77 AVE-118 ST,53.51263052,-113.5349077,0.065,5.0d 06:00:00,5.0d 14:45:00,1,neighbourhood,B1,1,1168_0,5
1168_1_B1,,D,Belgravia,77 AVE-118 ST,53.51263052,-113.5349077,0.065,14.0d 06:00:00,14.0d 14:45:00,1,neighbourhood,B1,1,1168_1,14
1183_0_B1,,D,Westbrook Estate,WESTBROOK DRIVE-124 ST,53.462898,-113.5440734,0.38,0.0d 06:00:00,0.0d 14:45:00,1,neighbourhood,B1,1,1183_0,0
1183_1_B1,,D,Westbrook Estate,WESTBROOK DRIVE-124 ST,53.462898,-113.5440734,0.38,13.0d 06:00:00,13.0d 14:45:00,1,neighbourhood,B1,1,1183_1,13
1193_0_A2,,D,DAVIES INDUSTRIAL WEST,WAGNER ROAD - 86 ST,53.49922599,-113.4525547,2.579,5.0d 06:00:00,5.0d 14:45:00,1,neighbourhood,A2,1,1193_0,5
1193_1_A2,,D,DAVIES INDUSTRIAL WEST,WAGNER ROAD - 86 ST,53.49922599,-113.4525547,2.579,12.0d 06:00:00,12.0d 14:45:00,1,neighbourhood,A2,1,1193_1,12
1193_2_A2,,D,DAVIES INDUSTRIAL WEST,WAGNER ROAD - 86 ST,53.49922599,-113.4525547,2.579,19.0d 06:00:00,19.0d 14:45:00,1,neighbourhood,A2,1,1193_2,19
1193.0_0_A2,,D,DAVIES INDUSTRIAL WEST,WAGNER ROAD - 86 ST,53.49922599,-113.4525547,4.25,5.0d 06:00:00,5.0d 14:45:00,1,neighbourhood,A2,1,1193.0_0,5
1193.0_1_A2,,D,DAVIES INDUSTRIAL WEST,WAGNER ROAD - 86 ST,53.49922599,-113.4525547,4.25,12.0d 06:00:00,12.0d 14:45:00,1,neighbourhood,A2,1,1193.0_1,12
1193.0_2_A2,,D,DAVIES INDUSTRIAL WEST,WAGNER ROAD - 86 ST,53.49922599,-113.4525547,4.25,19.0d 06:00:00,19.0d 14:45:00,1,neighbourhood,A2,1,1193.0_2,19
1211_0_B1,,D,Brander Gardens,RIVERBEND ROAD-148 ST,53.49742958,-113.5742093,0.11,3.0d 06:00:00,3.0d 14:45:00,1,neighbourhood,B1,1,1211_0,3
1211_1_B1,,D,Brander Gardens,RIVERBEND ROAD-148 ST,53.49742958,-113.5742093,0.11,10.0d 06:00:00,10.0d 14:45:00,1,neighbourhood,B1,1,1211_1,10
1240_0_A2,,D,Brookside,47 AVE-141 ST,53.48467129,-113.563798,0.0815,4.0d 06:00:00,4.0d 14:45:00,1,neighbourhood,A2,1,1240_0,4
1240_1_A2,,D,Brookside,47 AVE-141 ST,53.48467129,-113.563798,0.0815,10.0d 06:00:00,10.0d 14:45:00,1,neighbourhood,A2,1,1240_1,10
1240_2_A2,,D,Brookside,47 AVE-141 ST,53.48467129,-113.563798,0.0815,18.0d 06:00:00,18.0d 14:45:00,1,neighbourhood,A2,1,1240_2,18
1245_0_B1,,D,Rhatigan Ridge,#509 RONNING ST,53.47616867,-113.5963977,0.064,2.0d 06:00:00,2.0d 14:45:00,1,neighbourhood,B1,1,1245_0,2
1245_1_B1,,D,Rhatigan Ridge,#509 RONNING ST,53.47616867,-113.5963977,0.064,14.0d 06:00:00,14.0d 14:45:00,1,neighbourhood,B1,1,1245_1,14
128.0_0_B1,,D,STRATHCONA INDUSTRIAL PARK,N/S 34 AVE: 103 ST - 91 ST,53.4660411,-113.4728329,0.07,1.0d 06:00:00,1.0d 14:45:00,1,roadway,B1,1,128.0_0,1
