vehicle-Id,activity,job-Id,arrTime,endTime
MWD-5910-1_1_3,start,,undef,0.0
MWD-5910-1_1_3,delivery,4423.0_0_B1,78.04889666666666,78.45489666666667
MWD-5910-1_1_3,delivery,2156.0_0_B1,78.51786,78.92936
MWD-5910-1_1_3,delivery,2339.0_0_B1,79.03406333333334,79.14906333333333
MWD-5910-1_1_3,delivery,3377.0_0_B1,79.16368,81.44868
MWD-5910-1_1_3,delivery,3897.0_0_B1,81.61287999999999,82.63637999999999
MWD-5910-1_1_3,delivery,4165.0_0_B1,82.66654999999999,85.02404999999999
MWD-5910-1_1_3,delivery,1313.0_0_B1,85.06452999999999,85.86452999999999
MWD-5910-1_1_3,end,,85.86452999999999,undef
MWD-5910-1_1_4,start,,undef,0
MWD-5910-1_1_4,delivery,4122.0_0_B1,102.24323,107.01323
MWD-5910-1_1_4,delivery,4186.0_0_B1,107.06760666666666,108.34060666666666
MWD-5910-1_1_4,delivery,4636.0_0_B1,108.46789999999999,108.61239999999998
MWD-5910-1_1_4,delivery,991193_0_PREMIER,108.69404999999998,109.23904999999998
MWD-5910-1_1_4,delivery,2482.0_0_B1,109.34498666666664,109.41998666666665
MWD-5910-1_1_4,delivery,1450.0_0_B1,109.4820833333333,110.56558333333331
MWD-5910-1_1_4,end,,110.56558333333331,undef
MWD-5910-1_1_5,start,,undef,0
MWD-5910-1_1_5,delivery,1193.0_0_A2,126.21356,130.46356
MWD-5910-1_1_5,delivery,4294.0_0_B1,130.68496666666667,133.69846666666666
MWD-5910-1_1_5,end,,133.69846666666666,undef
MWD-5910-1_1_6,start,,undef,0
MWD-5910-1_1_6,delivery,3402.0_0_A2,150.04897,151.84996999999998
MWD-5910-1_1_6,delivery,4484.0_0_B1,151.87588666666664,151.95838666666666
MWD-5910-1_1_6,delivery,3846.0_0_B1,152.04658999999998,152.22808999999998
MWD-5910-1_1_6,delivery,1854.0_0_B1,152.39007999999998,153.86157999999998
MWD-5910-1_1_6,delivery,2194.0_0_B1,153.95181333333332,154.74931333333333
MWD-5910-1_1_6,delivery,4177.0_0_B1,154.88037333333332,155.92187333333334
MWD-5910-1_1_6,delivery,3996.0_0_B1,155.95259333333334,158.45259333333334
MWD-5910-1_1_6,end,,158.45259333333334,undef
MWD-5910-1_1_0,start,,undef,0
MWD-5910-1_1_0,delivery,7913_0_B1,6.357826666666667,6.690326666666667
MWD-5910-1_1_0,delivery,3313.0_0_B1,6.920763333333334,10.068763333333335
MWD-5910-1_1_0,delivery,3434.0_0_B1,10.105426666666668,12.697926666666667
MWD-5910-1_1_0,delivery,4572.0_0_B1,12.843900000000001,14.401400000000002
MWD-5910-1_1_0,end,,14.401400000000002,undef
MWD-5910-2_1_4,start,,undef,0
MWD-5910-2_1_4,delivery,991903_0_PREMIER,102.01383666666666,102.36633666666667
MWD-5910-2_1_4,delivery,971903_0_PREMIER,102.36633666666667,102.68383666666666
MWD-5910-2_1_4,delivery,961903_0_PREMIER,102.68383666666666,102.97533666666666
MWD-5910-2_1_4,delivery,981903_0_PREMIER,102.97533666666666,103.32783666666667
MWD-5910-2_1_4,delivery,7430.0_0_B1,103.48684333333334,104.75484333333334
MWD-5910-2_1_4,delivery,4725.0_0_B1,104.97752000000001,107.77952000000002
MWD-5910-2_1_4,delivery,4685.0_0_B1,107.81680666666668,108.56680666666668
MWD-5910-2_1_4,delivery,4331.0_0_B1,108.57805000000002,108.82355000000003
MWD-5910-2_1_4,delivery,3368.0_0_B1,108.87772000000002,108.98122000000002
MWD-5910-2_1_4,delivery,3666.0_0_B1,108.99693333333336,109.20743333333336
MWD-5910-2_1_4,end,,109.20743333333336,undef
MWD-5910-2_1_5,start,,undef,0
MWD-5910-2_1_5,delivery,1903_0_0_A2,126.01372333333333,130.65572333333333
