Id,Level,address,cluster,day,start-time,end-time,job-id,latitude,longitude,name,priority,quantity,raw-id,required-skills,service-duration-3,type,service-duration
14.0_0_B1,B1,88 St: West Side Summerside Grande Blvd - Savaryn Drive,,,0d 06:00:00,9d 14:45:00,,53.41533314,-113.4674006,SUMMERSIDE,10,1,14.0_0,neighbourhood,0.0158333333,D,0.011875
64.0_0_B1,B1,74 ST-96B AVE,,0,0d 06:00:00,0d 14:45:00,,53.53620179,-113.440336,OTTEWELL,10,1,64.0_0,neighbourhood,0.0670833333,D,0.0503125
103.0_0_B1,B1,89 ST-75 AVE,,7,7d 06:00:00,7d 14:45:00,,53.51147159,-113.4623148,AVONMORE,1,1,103.0_0,neighbourhood,0.0379166667,D,0.0284375
106.0_0_B1,B1,98 ST-77 AVE,,7,7d 06:00:00,7d 14:45:00,,53.51372262,-113.4813008,RITCHIE,1,1,106.0_0,neighbourhood,0.15125,D,0.1134375
107.0_0_B1,B1,97 ST-74 AVE,,,0d 06:00:00,9d 14:45:00,,53.51014172,-113.4792693,RITCHIE,10,1,107.0_0,neighbourhood,0.01625,D,0.0121875
128.0_0_B1,B1,N/S 34 AVE: 103 ST - 91 ST,,9,9d 06:00:00,9d 14:45:00,,53.4660411,-113.4728329,STRATHCONA INDUSTRIAL PARK,10,1,128.0_0,roadway,0.0584722222,D,0.0438541667
132.0_0_B1,B1,NORTH OF 82 AVE-50-64 ST,,0,0d 06:00:00,0d 14:45:00,,53.51875284,-113.4242616,KENILWORTH,10,1,132.0_0,neighbourhood,0.1097222222,D,0.0822916667
147.0_0_B1,B1,75 ST-BTWN-76-80 AVE,,,0d 06:00:00,9d 14:45:00,,53.51487708,-113.4429069,KING EDWARD PARK,10,1,147.0_0,neighbourhood,0.0077777778,D,0.0058333334
181.0_0_B1,B1,109 AVE-65 ST,,4,4d 06:00:00,4d 14:45:00,,53.5572473,-113.4252652,CAPILANO,1,1,181.0_0,neighbourhood,0.0347222222,D,0.0260416667
182.0_0_B1,B1,108 AVE-65 ST,,,0d 06:00:00,9d 14:45:00,,53.55581701,-113.4269073,CAPILANO,10,1,182.0_0,neighbourhood,0.0080555556,D,0.0060416667
207.0_0_B1,B1,N/S & C ELLERSLIE RD: 91 ST - EDWARDS DRI,,2,2d 06:00:00,2d 14:45:00,,53.4249867,-113.4648967,ELLERSLIE,1,1,207.0_0,roadway,0.0515277778,D,0.0386458334
217.0_0_B1,B1,55 ST - 39 AVE,,,0d 06:00:00,9d 14:45:00,,53.47495511,-113.422836,GREENVIEW,10,1,217.0_0,neighbourhood,0.0151388889,D,0.0113541667
232.0_0_B1,B1,51 ST -39 A AVE,,,0d 06:00:00,9d 14:45:00,,53.47406098,-113.4179049,GREENVIEW,10,1,232.0_0,neighbourhood,0.0098611111,D,0.0073958333
256.0_0_B1,B1,NORTH OF 28A AVE BTWN 34-37 ST,,,0d 06:00:00,9d 14:45:00,,53.45953514,-113.3959923,BISSET,10,1,256.0_0,neighbourhood,0.0438888889,D,0.0329166667
266.0_0_B1,B1,BTWN-WHITEMUD DRIVE-PIPELINE,,,0d 06:00:00,9d 14:45:00,,53.4813995,-113.4445099,MICHAELS PARK,10,1,266.0_0,neighbourhood,0.0497222222,D,0.0372916667
270.0_0_B1,B1,89 Ave & 71 St,,3,5d 06:00:00,5d 14:45:00,,53.52290707,-113.4354382,KENILWORTH,1,1,270.0_0,neighbourhood,0.1105555556,D,0.0829166667
279.0_0_B1,B1,84 AVE-73 ST,,,0d 06:00:00,9d 14:45:00,,53.52016614,-113.4404997,KENILWORTH,10,1,279.0_0,neighbourhood,0.0180555556,D,0.0135416667
307.0_0_B1,B1,40 - 43 AVE & GREENOCH CRESENT,,,0d 06:00:00,9d 14:45:00,,53.47807414,-113.4236698,GREENVIEW,10,1,307.0_0,neighbourhood,0.0676388889,D,0.0507291667
308.0_0_B1,B1,40 - 43 AVE & GRANLEA CRESENT (P.P.),,,0d 06:00:00,9d 14:45:00,,53.47925098,-113.4295846,GREENVIEW,10,1,308.0_0,neighbourhood,0.065,D,0.04875
309.0_0_B1,B1,82 ST-103 AVE,,0,0d 06:00:00,0d 14:45:00,,53.54472687,-113.4532601,FOREST HEIGHTS,10,1,309.0_0,neighbourhood,0.0402777778,D,0.0302083334
382_0_0_B1,B1,93 ST-92 AVE,,,5d 06:00:00,5d 14:45:00,,53.52806581,-113.4707322,BONNIE DOON,1,1,382_0,neighbourhood,0.0577314815,D,0.0432986111
382_1_0_B1,B1,93 ST-92 AVE,,,5d 06:00:00,5d 14:45:00,,53.52806581,-113.4707322,BONNIE DOON,1,1,382_0,neighbourhood,0.0577314815,D,0.0432986111
