Id,Level,Unnamed: 0,address,cluster,day,end-time,job-id,latitude,longitude,name,priority,quantity,raw-id,required-skills,Service-duration-1,start-time,type,service-duration
14.0_0_B1,B1,1,88 St: West Side Summerside Grande Blvd - Savaryn Drive,,,9d 14:45:00,,53.41533314,-113.4674006,SUMMERSIDE,10,1,14.0_0,neighbourhood,0.3799999992,0d 06:00:00,D,0.2999999994
64.0_0_B1,B1,2,74 ST-96B AVE,,0,0d 14:45:00,,53.53620179,-113.440336,OTTEWELL,10,1,64.0_0,neighbourhood,1.6099999992,0d 06:00:00,D,1.2710526309
103.0_0_B1,B1,7,89 ST-75 AVE,,7,7d 14:45:00,,53.51147159,-113.4623148,AVONMORE,1,1,103.0_0,neighbourhood,0.9100000008,7d 06:00:00,D,0.7184210533
106.0_0_B1,B1,8,98 ST-77 AVE,,7,7d 14:45:00,,53.51372262,-113.4813008,RITCHIE,1,1,106.0_0,neighbourhood,3.63,7d 06:00:00,D,2.8657894737
107.0_0_B1,B1,9,97 ST-74 AVE,,,9d 14:45:00,,53.51014172,-113.4792693,RITCHIE,10,1,107.0_0,neighbourhood,0.39,0d 06:00:00,D,0.3078947368
128.0_0_B1,B1,10,N/S 34 AVE: 103 ST - 91 ST,,9,9d 14:45:00,,53.4660411,-113.4728329,STRATHCONA INDUSTRIAL PARK,10,1,128.0_0,roadway,1.4033333328,9d 06:00:00,D,1.1078947364
132.0_0_B1,B1,11,NORTH OF 82 AVE-50-64 ST,,0,0d 14:45:00,,53.51875284,-113.4242616,KENILWORTH,10,1,132.0_0,neighbourhood,2.6333333328,0d 06:00:00,D,2.078947368
147.0_0_B1,B1,12,75 ST-BTWN-76-80 AVE,,,9d 14:45:00,,53.51487708,-113.4429069,KING EDWARD PARK,10,1,147.0_0,neighbourhood,0.1866666672,0d 06:00:00,D,0.1473684215
181.0_0_B1,B1,18,109 AVE-65 ST,,4,4d 14:45:00,,53.5572473,-113.4252652,CAPILANO,1,1,181.0_0,neighbourhood,0.8333333328,4d 06:00:00,D,0.6578947364
182.0_0_B1,B1,19,108 AVE-65 ST,,,9d 14:45:00,,53.55581701,-113.4269073,CAPILANO,10,1,182.0_0,neighbourhood,0.1933333344,0d 06:00:00,D,0.1526315798
207.0_0_B1,B1,20,N/S & C ELLERSLIE RD: 91 ST - EDWARDS DRI,,2,2d 14:45:00,,53.4249867,-113.4648967,ELLERSLIE,1,1,207.0_0,roadway,1.2366666672,2d 06:00:00,D,0.9763157899
217.0_0_B1,B1,21,55 ST - 39 AVE,,,9d 14:45:00,,53.47495511,-113.422836,GREENVIEW,10,1,217.0_0,neighbourhood,0.3633333336,0d 06:00:00,D,0.2868421055
232.0_0_B1,B1,24,51 ST -39 A AVE,,,9d 14:45:00,,53.47406098,-113.4179049,GREENVIEW,10,1,232.0_0,neighbourhood,0.2366666664,0d 06:00:00,D,0.1868421051
256.0_0_B1,B1,28,NORTH OF 28A AVE BTWN 34-37 ST,,,9d 14:45:00,,53.45953514,-113.3959923,BISSET,10,1,256.0_0,neighbourhood,1.0533333336,0d 06:00:00,D,0.8315789476
