,Id,Level,cluster,day,end-time,start-time,job-id,latitude,longitude,name,priority,quantity,raw-id,required-skills,Service-duration-1,type,service-duration,
2394,100.0_0_B1,B1,5,,11d 14:45:00,10d 06:00:00,,53.47648078,-113.4318203,GREENVIEW,1,1,100.0_0,neighbourhood,1.274,D,1.0057894737,
2394,100.0_1_B1,B1,5,,20d 14:45:00,19d 06:00:00,,53.47648078,-113.4318203,GREENVIEW,1,1,100.0_0,neighbourhood,1.274,D,1.0057894737,
1004,10000_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.48915551,-113.3905667,Southeast Industrial,10,1,10000_0,neighbourhood,0.4266666667,D,0.3368421053,
2024,10000_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.48915551,-113.3905667,Southeast Industrial,10,1,10000_1,neighbourhood,0.4266666667,D,0.3368421053,
1005,10008_0_B1,B1,,1,1.0d 14:45:00,1.0d 06:00:00,,53.450275686,-113.609523269,Windermere,1,1,10008_0,neighbourhood,0.3816666667,D,0.3013157895,
2025,10008_1_B1,B1,,12,12.0d 14:45:00,12.0d 06:00:00,,53.450275686,-113.609523269,Windermere,1,1,10008_1,neighbourhood,0.3816666667,D,0.3013157895,
63,1001.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.48206292,-113.4132991,JACKSON HEIGHTS,10,1,1001.0_0,neighbourhood,0.3366666667,D,0.2657894737,
1083,1001.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.48206292,-113.4132991,JACKSON HEIGHTS,10,1,1001.0_1,neighbourhood,0.3366666667,D,0.2657894737,
2464,10010_0_B1,B1,73,,11d 14:45:00,10d 06:00:00,,53.43566446,-113.630295325,Windermere,1,1,10010_0,neighbourhood,0.117,D,0.0923684211,
2464,10010_1_B1,B1,73,,20d 14:45:00,19d 06:00:00,,53.43566446,-113.630295325,Windermere,1,1,10010_0,neighbourhood,0.117,D,0.0923684211,
2465,10011_0_B1,B1,74,,11d 14:45:00,10d 06:00:00,,53.44453709,-113.61664058,Windermere,1,1,10011_0,neighbourhood,0.1906666667,D,0.1505263158,
2465,10011_1_B1,B1,74,,20d 14:45:00,19d 06:00:00,,53.44453709,-113.61664058,Windermere,1,1,10011_0,neighbourhood,0.1906666667,D,0.1505263158,
1006,10016_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.444328389,-113.617402635,Windermere,10,1,10016_0,neighbourhood,0.3933333333,D,0.3105263158,
2026,10016_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.444328389,-113.617402635,Windermere,10,1,10016_1,neighbourhood,0.3933333333,D,0.3105263158,
1007,10018_0_B1,B1,,1,1.0d 14:45:00,1.0d 06:00:00,,53.441214417,-113.626032458,Windermere,1,1,10018_0,neighbourhood,0.4333333333,D,0.3421052632,
2027,10018_1_B1,B1,,12,12.0d 14:45:00,12.0d 06:00:00,,53.441214417,-113.626032458,Windermere,1,1,10018_1,neighbourhood,0.4333333333,D,0.3421052632,
598,1003_0_B1,B1,,4,4.0d 14:45:00,4.0d 06:00:00,,53.45033688,-113.5981467,Haddow,1,1,1003_0,neighbourhood,0.3833333333,D,0.3026315789,
1618,1003_1_B1,B1,,17,17.0d 14:45:00,17.0d 06:00:00,,53.45033688,-113.5981467,Haddow,1,1,1003_1,neighbourhood,0.3833333333,D,0.3026315789,
1008,10032_0_B1,B1,,7,7.0d 14:45:00,7.0d 06:00:00,,53.42862657,-113.594079171,Ambleside,1,1,10032_0,neighbourhood,0.55,D,0.4342105263,
2028,10032_1_B1,B1,,12,12.0d 14:45:00,12.0d 06:00:00,,53.42862657,-113.594079171,Ambleside,1,1,10032_1,neighbourhood,0.55,D,0.4342105263,
1009,10033_0_B1,B1,,6,6.0d 14:45:00,6.0d 06:00:00,,53.40656046,-113.566904756,Chappelle Area,1,1,10033_0,neighbourhood,0.4633333333,D,0.3657894737,
2029,10033_1_B1,B1,,14,14.0d 14:45:00,14.0d 06:00:00,,53.40656046,-113.566904756,Chappelle Area,1,1,10033_1,neighbourhood,0.4633333333,D,0.3657894737,
1010,10059_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.4265816,-113.4001466,Charlesworth,10,1,10059_0,neighbourhood,1.05,D,0.8289473684,
2030,10059_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.4265816,-113.4001466,Charlesworth,10,1,10059_1,neighbourhood,1.05,D,0.8289473684,
1011,10074_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.4588433,-113.3685124,Tamarack,10,1,10074_0,neighbourhood,0.1733333333,D,0.1368421053,
2031,10074_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.4588433,-113.3685124,Tamarack,10,1,10074_1,neighbourhood,0.1733333333,D,0.1368421053,
1012,10075_0_B1,B1,,4,4.0d 14:45:00,4.0d 06:00:00,,53.46065597,-113.3685558,Tamarack,1,1,10075_0,neighbourhood,0.3866666667,D,0.3052631579,
2032,10075_1_B1,B1,,11,11.0d 14:45:00,11.0d 06:00:00,,53.46065597,-113.3685558,Tamarack,1,1,10075_1,neighbourhood,0.3866666667,D,0.3052631579,
1013,10076_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.46142168,-113.3678167,Tamarack,10,1,10076_0,neighbourhood,0.4133333333,D,0.3263157895,
2033,10076_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.46142168,-113.3678167,Tamarack,10,1,10076_1,neighbourhood,0.4133333333,D,0.3263157895,
1014,10084_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.41801224,-113.423462,Walker,10,1,10084_0,neighbourhood,0.3566666667,D,0.2815789474,
2034,10084_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.41801224,-113.423462,Walker,10,1,10084_1,neighbourhood,0.3566666667,D,0.2815789474,
1015,10085_0_B1,B1,,7,7.0d 14:45:00,7.0d 06:00:00,,53.40598414,-113.5730267,Chappele Area,1,1,10085_0,neighbourhood,1.0266666667,D,0.8105263158,
2035,10085_1_B1,B1,,14,14.0d 14:45:00,14.0d 06:00:00,,53.40598414,-113.5730267,Chappele Area,1,1,10085_1,neighbourhood,1.0266666667,D,0.8105263158,
994,10086_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.484640333,-113.540910594,Malmo Plains,10,1,10086_0,roadway,0.7566666667,D,0.5973684211,
2014,10086_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.484640333,-113.540910594,Malmo Plains,10,1,10086_1,roadway,0.7566666667,D,0.5973684211,
1016,10092_0_B1,B1,,1,1.0d 14:45:00,1.0d 06:00:00,,53.44669002,-113.6096593,Windermere,1,1,10092_0,neighbourhood,0.3,D,0.2368421053,
2036,10092_1_B1,B1,,12,12.0d 14:45:00,12.0d 06:00:00,,53.44669002,-113.6096593,Windermere,1,1,10092_1,neighbourhood,0.3,D,0.2368421053,
1017,10104_0_B1,B1,,6,6.0d 14:45:00,6.0d 06:00:00,,53.40102631,-113.5725043,Chappele Area,1,1,10104_0,neighbourhood,0.9666666667,D,0.7631578947,
2037,10104_1_B1,B1,,14,14.0d 14:45:00,14.0d 06:00:00,,53.40102631,-113.5725043,Chappele Area,1,1,10104_1,neighbourhood,0.9666666667,D,0.7631578947,
1018,10114_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.43960311,-113.6269381,Windermere,10,1,10114_0,neighbourhood,0.2833333333,D,0.2236842105,
2038,10114_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.43960311,-113.6269381,Windermere,10,1,10114_1,neighbourhood,0.2833333333,D,0.2236842105,
1019,10124_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.43921938,-113.6196659,Windermere,10,1,10124_0,neighbourhood,3.61,D,2.85,
2039,10124_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.43921938,-113.6196659,Windermere,10,1,10124_1,neighbourhood,3.61,D,2.85,
294,10151_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.45383076,-113.4888193,PARSONS INDUSTRIAL,10,1,10151_0,roadway,0.5533333333,D,0.4368421053,
1314,10151_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.45383076,-113.4888193,PARSONS INDUSTRIAL,10,1,10151_1,roadway,0.5533333333,D,0.4368421053,
543,10155_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.487360679,-113.420127637,ROPER INDUSTRIAL,10,1,10155_0,roadway,2.0466666667,D,1.6157894737,
1563,10155_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.487360679,-113.420127637,ROPER INDUSTRIAL,10,1,10155_1,roadway,2.0466666667,D,1.6157894737,
599,1016_0_B1,B1,,9,9.0d 14:45:00,9.0d 06:00:00,,53.481138124,-113.507437249,Rideau Park,1,1,1016_0,roadway,1.9333333333,D,1.5263157895,
1619,1016_1_B1,B1,,15,15.0d 14:45:00,15.0d 06:00:00,,53.481138124,-113.507437249,Rideau Park,1,1,1016_1,roadway,1.9333333333,D,1.5263157895,
64,1017.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.53593095,-113.4310656,OTTEWELL,10,1,1017.0_0,neighbourhood,0.7233333333,D,0.5710526316,
