Id,job-id,type,name,address,latitude,longitude,Service-duration-1,start-time,end-time,quantity,required-skills,priority,Level,raw-id,day,service-duration,raw_id,Day
666.0_0_B1,,D,WALKER,ROAD RIGHT OF WAY: S/S ELLERSLIE RD,53.424798362,-113.419698009,0.0420833333,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,666.0_0,,0.0332236842,666.0,14.0
1048.0_0_B1,,D,CHARLESWORTH,CENTER MEIDAIN - WATT BLVD TO WATT COMMON,53.42474558,-113.4309533,0.0415277778,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1048.0_0,,0.0327850877,1048.0,14.0
1050.0_0_B1,,D,CHARLESWORTH,SOUTH BUFFER - WATT BLVD TO WATT COMMON,53.42493252,-113.4311662,0.0830555556,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1050.0_0,,0.0655701754,1050.0,14.0
1113.0_0_B1,,D,PARSONS INDUSTRIAL,WS/C 91 ST BTWN 23 & 28 AVE,53.45538745,-113.467122,0.1598611111,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1113.0_0,,0.1262061404,1113.0,13.0
1792.0_0_B1,,D,KINISKI GARDENS,NORTH SIDE/C OF 38 AVE-BTWN 38 ST-WW AT,53.47299555,-113.3954121,0.0186111111,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1792.0_0,,0.0146929825,1792.0,14.0
1896.0_0_B1,,D,MINCHAU,N/S 34 AVE: 34 ST - MILLWOODS RD E,53.46389669,-113.4003169,0.0829166667,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1896.0_0,,0.0654605263,1896.0,14.0
1944.0_0_B1,,D,KINISKI GARDENS,E/S & C 34 ST: WHITEMUD DR - 38 AVE,53.48098194,-113.393479,0.0854166667,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1944.0_0,,0.0674342105,1944.0,17.0
1967.0_0_B1,,D,CRAWFORD PLAINS,SOUTH SIDE MILLWOODS RD S-BTWN 50 ST-C,53.44403276,-113.4110643,0.1320833333,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1967.0_0,,0.1042763158,1967.0,14.0
2705.0_0_B1,,D,WEINLOS,SOUTH SIDE 34 AVE BTWN 50 ST-MILLWOODS RD E,53.46433258,-113.4123796,0.10125,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,2705.0_0,,0.0799342105,2705.0,13.0
2761.0_0_B1,,D,MEYOKUMIN,WEST SIDE 50 ST BTWN MILLWOODS RD S-23,53.44946359,-113.4197467,0.1011111111,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,2761.0_0,,0.0798245614,2761.0,13.0
2870.0_0_B1,,D,POLLARD MEADOWS,N/S & W/S MILL WOODS ROAD: 17 AVE - 46 ST,53.44309506,-113.4053314,0.0173611111,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,2870.0_0,,0.0137061404,2870.0,13.0
3044_0_B1,,D,LEE RIDGE,SS 38 AVE BTWN MILLBOURNE RD E & 66 ST,53.47414851,-113.4419587,0.0325,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3044_0,,0.0256578947,3044,14.0
3119_0_B1,,D,MEYONOHK,NORTH SIDE 23 AVE-BTWN 91 ST-MILLWOODS,53.45249733,-113.4573378,0.1469444444,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3119_0,,0.1160087719,3119,17.0
3432_0_B1,,D,MILL WOODS GOLF COURSE,EAST SIDE/C 50 ST-BTWN 40 AVE-WHITEMUD,53.48054226,-113.417776,0.1388888889,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3432_0,,0.1096491228,3432,17.0
3455_0_B1,,D,MINCHAU,EAST SIDE/WS MILLWOODS RD E BTWN 34 & 3,53.46615353,-113.407974,0.0608333333,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3455_0,,0.0480263158,3455,14.0
