vehicle-Id,activity,job-Id,arrTime,endTime
MWD-72-1_1_0,start,,undef,0.0
MWD-72-1_1_0,delivery,4260_0_B1,6.3098833333333335,9.246725439303333
MWD-72-1_1_0,delivery,10151_0_B1,9.774633772636665,10.180896930844666
MWD-72-1_1_0,delivery,674_0_B1,10.295055264178,12.742423685078
MWD-72-1_1_0,delivery,2711.0_0_B1,13.071240351744667,14.329187719654666
MWD-72-1_1_0,end,,14.329187719654666,undef
MWD-72-1_1_1,start,,undef,0
MWD-72-1_1_1,delivery,579.0_0_B1,30.185083333333335,31.075925438557334
MWD-72-1_1_1,delivery,4365_0_B1,31.178100438557333,33.380732016917335
MWD-72-1_1_1,delivery,2955.0_0_B1,33.446523683584005,34.731392105224
MWD-72-1_1_1,delivery,3706_0_B1,35.16563377189067,35.56210745621867
MWD-72-1_1_1,delivery,207.0_0_B1,35.63103245621867,36.53900614129067
MWD-72-1_1_1,delivery,3405_0_B1,36.59624780795734,36.90461622959734
MWD-72-1_1_1,delivery,4644_0_B1,36.934757896264,37.842731581336004
MWD-72-1_1_1,end,,37.842731581336004,undef
MWD-72-1_1_2,start,,undef,0
MWD-72-1_1_2,delivery,2499.0_0_B1,54.17299166666667,54.657570613682665
MWD-72-1_1_2,delivery,1447.0_0_B1,54.756737280349334,55.11894780721333
MWD-72-1_1_2,delivery,4545_0_B1,55.12428947388,56.083657894032
MWD-72-1_1_2,delivery,3847_0_B1,56.205807894032,57.096649999256
MWD-72-1_1_2,delivery,3859_0_B1,57.246174999256,58.271622368656
MWD-72-1_1_2,delivery,4033_0_B1,58.278272368656,58.349246053727995
MWD-72-1_1_2,delivery,3977_0_B1,58.44849605372799,59.158232895519994
MWD-72-1_1_2,delivery,4120_0_B1,59.21407456218666,60.35454824576666
MWD-72-1_1_2,delivery,4483_0_B1,60.409431579099994,61.349221053723994
MWD-72-1_1_2,delivery,2913.0_0_B1,61.45921272039066,62.25705482487066
MWD-72-1_1_2,end,,62.25705482487066,undef
MWD-72-2_1_0,start,,undef,0
MWD-72-2_1_0,delivery,4689_0_B1,6.543741666666667,8.895662718906667
MWD-72-2_1_0,delivery,2587.0_0_B1,8.99332105224,9.56111052612
MWD-72-2_1_0,delivery,665_0_B1,9.817718859453334,10.189718860197335
MWD-72-2_1_0,delivery,3527_0_B1,10.432452193530668,14.348241667410669
MWD-72-2_1_0,end,,14.348241667410669,undef
MWD-72-2_1_1,start,,undef,0
MWD-72-2_1_1,delivery,128.0_0_B1,30.314608333333332,31.344950438553333
MWD-72-2_1_1,delivery,3163_0_B1,31.358458771886667,32.38880087710667
MWD-72-2_1_1,delivery,1990_0_B1,32.57453421044,35.30579736939
MWD-72-2_1_1,delivery,3119_0_B1,35.69611403605666,38.28542982486666
MWD-72-2_1_1,end,,38.28542982486666,undef
MWD-72-2_1_2,start,,undef,0
MWD-72-2_1_2,delivery,4482_0_B1,54.20636666666667,55.890156140546665
MWD-72-2_1_2,delivery,3829_0_B1,55.996106140546665,56.676474560698665
MWD-72-2_1_2,delivery,2870.0_0_B1,56.757007894032,57.06292894776
MWD-72-2_1_2,delivery,3693_0_B1,57.12457894776,58.118210527608
MWD-72-2_1_2,delivery,3287_0_B1,58.18749386094133,58.31720438706133
MWD-72-2_1_2,delivery,4082_0_B1,58.341921053728,59.208289475368
MWD-72-2_1_2,delivery,3532_0_B1,59.25084780870133,60.05603201914933
