Id,job-id,type,name,address,latitude,longitude,service-duration,start-time,end-time,quantity,required-skills,priority,Level,raw-id,day
11.0_0_B1,,D,KINISKI GARDENS,NORTH OF 3453-35 ST,53.46538095,-113.39476840000002,0.004722222222222208,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,11.0_0,
14.0_0_B1,,D,SUMMERSIDE,88 St: West Side Summerside Grande Blvd - Savaryn Drive,53.41533314,-113.4674006,0.015833333333333335,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,14.0_0,
64.0_0_B1,,D,OTTEWELL,74 ST-96B AVE,53.53620179,-113.44033600000002,0.06708333333333334,6.0d 06:00:00,6.0d 14:45:00,1.0,neighbourhood,1.0,B1,64.0_0,6.0
69.0_0_B1,,D,,82 AVE-W OF 50 ST,53.51814912,-113.4199973,0.004444444444444458,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,69.0_0,
72.0_0_B1,,D,JACKSON HEIGHTS,N/S SIDE BTWN 50 ST & JACKSON ROAD,53.48499448,-113.41472340000001,0.0031944444444444585,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,72.0_0,
100.0_0_B1,,D,GREENVIEW,GRAND MEADOW CRESENT - E. OF 62 ST,53.47648078,-113.4318203,0.0011111111111111252,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,100.0_0,
101.0_0_B1,,D,GREENVIEW,56 ST - 41 AVE,53.47706533,-113.42245790000001,0.006666666666666667,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,101.0_0,
103.0_0_B1,,D,AVONMORE,89 ST-75 AVE,53.51147159,-113.4623148,0.03791666666666667,0.0d 06:00:00,0.0d 14:45:00,1.0,neighbourhood,1.0,B1,103.0_0,0.0
106.0_0_B1,,D,RITCHIE,98 ST-77 AVE,53.51372262,-113.48130079999999,0.15125,4.0d 06:00:00,4.0d 14:45:00,1.0,neighbourhood,1.0,B1,106.0_0,4.0
107.0_0_B1,,D,RITCHIE,97 ST-74 AVE,53.51014172,-113.4792693,0.01625,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,107.0_0,
128.0_0_B1,,D,STRATHCONA INDUSTRIAL PARK,N/S 34 AVE: 103 ST - 91 ST,53.4660411,-113.47283290000001,0.05847222222222209,1.0d 06:00:00,1.0d 14:45:00,1.0,roadway,1.0,B1,128.0_0,1.0
132.0_0_B1,,D,KENILWORTH,NORTH OF 82 AVE-50-64 ST,53.51875284,-113.4242616,0.1097222222222221,6.0d 06:00:00,6.0d 14:45:00,1.0,neighbourhood,1.0,B1,132.0_0,6.0
147.0_0_B1,,D,KING EDWARD PARK,75 ST-BTWN-76-80 AVE,53.51487708,-113.44290690000001,0.0077777777777777906,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,147.0_0,
164.0_0_B1,,D,CRAWFORD PLAINS,12A AVE - BTWN 45 & 46 ST,53.44181187,-113.4096613,0.0038888888888888753,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,164.0_0,
165.0_0_B1,,D,CRAWFORD PLAINS,36 ST - 11 AVE,53.44014982,-113.39851090000002,0.0009722222222222081,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,165.0_0,
166.0_0_B1,,D,HILLVIEW,HILLVIEW CRESENT (53 ST &34 A AVE),53.46604928,-113.42358999999999,0.0018055555555555418,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,166.0_0,
169.0_0_B1,,D,WILD ROSE,Between 1921 & 2103 - 37 Ave,53.471585,-113.3732625,0.0006944444444444583,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,169.0_0,
170.0_0_B1,,D,WILD ROSE,Between 1921 & 2103 - 36 Ave,53.47072251,-113.37322350000001,0.0006944444444444583,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,170.0_0,
181.0_0_B1,,D,CAPILANO,109 AVE-65 ST,53.5572473,-113.4252652,0.03472222222222221,0.0d 06:00:00,0.0d 14:45:00,1.0,neighbourhood,1.0,B1,181.0_0,0.0
182.0_0_B1,,D,CAPILANO,108 AVE-65 ST,53.55581701,-113.42690729999998,0.008055555555555543,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,182.0_0,
207.0_0_B1,,D,ELLERSLIE,N/S & C ELLERSLIE RD: 91 ST - EDWARDS DRI,53.424986700000005,-113.4648967,0.051527777777777915,2.0d 06:00:00,2.0d 14:45:00,1.0,roadway,1.0,B1,207.0_0,2.0
217.0_0_B1,,D,GREENVIEW,55 ST - 39 AVE,53.47495511,-113.422836,0.01513888888888887,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,217.0_0,
218.0_0_B1,,D,GREENVIEW,257 GREENOCH CRESENT,53.47853544,-113.424299,0.0016666666666666668,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,218.0_0,
231.0_0_B1,,D,DALY GROVE,36 ST-17-17B AVE,53.44562432,-113.397116,0.0011111111111111252,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,231.0_0,
232.0_0_B1,,D,GREENVIEW,51 ST -39 A AVE,53.47406098,-113.41790490000001,0.009861111111111124,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,232.0_0,
236.0_0_B1,,D,DALY GROVE,36 ST-20 AVE,53.45106651,-113.39811090000002,0.0013888888888888746,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,236.0_0,
237.0_0_B1,,D,CRAWFORD PLAINS,36 ST - 12A AVE,53.44011451,-113.40018570000001,0.0016666666666666668,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,237.0_0,
255.0_0_B1,,D,BISSET,35 ST-33 AVE,53.46321738,-113.3948895,0.0009722222222222081,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,255.0_0,
256.0_0_B1,,D,BISSET,NORTH OF 28A AVE BTWN 34-37 ST,53.45953514,-113.39599229999999,0.04388888888888875,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,256.0_0,
265.0_0_B1,,D,MICHAELS PARK,EAST OF 76 ST BTWN 41 AVE & PARK AREA,53.47890847,-113.45054640000002,0.002638888888888875,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,265.0_0,
266.0_0_B1,,D,MICHAELS PARK,BTWN-WHITEMUD DRIVE-PIPELINE,53.4813995,-113.44450990000001,0.049722222222222084,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,266.0_0,
267.0_0_B1,,D,MICHAELS PARK,NEXT TO 6762-39 AVE,53.47586961,-113.4445511,0.004305555555555542,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,267.0_0,
270.0_0_B1,,D,KENILWORTH,89 Ave & 71 St,53.52290707,-113.4354382,0.11055555555555542,4.0d 06:00:00,4.0d 14:45:00,1.0,neighbourhood,1.0,B1,270.0_0,4.0
276.0_0_B1,,D,KINISKI GARDENS,403 KIRKPATRICK CRESENT,53.47925609,-113.4022577,0.002361111111111125,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,276.0_0,
278.0_0_B1,,D,KINISKI GARDENS,43 AVE & 38 ST - KIRKPATRICK CRESENT,53.480126299999995,-113.39999830000001,0.0038888888888888753,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,278.0_0,
279.0_0_B1,,D,KENILWORTH,84 AVE-73 ST,53.52016614,-113.4404997,0.018055555555555537,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,279.0_0,
280.0_0_B1,,D,KENILWORTH,75 ST-84 AVE,53.52033983,-113.44271540000001,0.0020833333333333333,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,280.0_0,
291.0_0_B1,,D,EKOTA,21 AVE & 73 ST,53.45275672,-113.44562859999998,0.004861111111111125,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,291.0_0,
307.0_0_B1,,D,GREENVIEW,40 - 43 AVE & GREENOCH CRESENT,53.47807414,-113.42366979999998,0.06763888888888876,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,307.0_0,
308.0_0_B1,,D,GREENVIEW,40 - 43 AVE & GRANLEA CRESENT (P.P.),53.47925098,-113.42958459999998,0.065,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,308.0_0,
309.0_0_B1,,D,FOREST HEIGHTS,82 ST-103 AVE,53.54472687,-113.45326010000001,0.04027777777777774,4.0d 06:00:00,4.0d 14:45:00,1.0,neighbourhood,1.0,B1,309.0_0,4.0
310.0_0_B1,,D,GREENVIEW,153 GRANLEA CRESENT,53.47935367,-113.43115159999998,0.003055555555555542,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,310.0_0,
381.0_0_B1,,D,EKOTA,68 ST - 22 AVE,53.45182828,-113.4381028,0.004861111111111125,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,381.0_0,
382.0_0_B1,,D,BONNIE DOON,93 ST-92 AVE,53.52806581,-113.47073219999999,0.17319444444444457,9.0d 06:00:00,9.0d 14:45:00,1.0,neighbourhood,1.0,B1,382.0_0,9.0
383.0_0_B1,,D,HILLVIEW,HILLVIEW CRESENT (52 ST & 34 B AVE),53.46695088,-113.42127240000002,0.015,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,383.0_0,
385.0_0_B1,,D,BONNIE DOON,95 AVE-94-95 ST,53.53191903,-113.4726713,0.01958333333333333,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,385.0_0,
386.0_0_B1,,D,BONNIE DOON,90 AVE-88 ST,53.52545463,-113.46194540000002,0.023611111111111124,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,386.0_0,
402.0_0_B1,,D,KAMEYOSEK,EAST SIDE MILLWOODS RD & 34-28 AVE,53.46369927,-113.45019140000001,0.021111111111111126,0d 06:00:00,9d 14:45:00,1.0,roadway,10.0,B1,402.0_0,
403.0_0_B1,,D,MICHAELS PARK,MILLBOURNE ROAD E-41A AVE,53.47911282,-113.4438854,0.006111111111111125,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,403.0_0,
404.0_0_B1,,D,KINISKI GARDENS,44 ST-KULAWY GATE (39 AVE),53.47431735,-113.4071166,0.004027777777777792,0d 06:00:00,9d 14:45:00,1.0,neighbourhood,10.0,B1,404.0_0,
