Id,job-id,type,name,address,latitude,longitude,Service-duration-1,start-time,end-time,quantity,required-skills,priority,Level,raw-id,day,service-duration,raw_id,Day
666.0_0_B1,,D,WALKER,ROAD RIGHT OF WAY: S/S ELLERSLIE RD,53.424798362,-113.419698009,0.0420833333,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,666.0_0,,0.0332236842,666.0,
996.0_0_B1,,D,GREENVIEW,GREENOCH CRESCENT-W 50 ST-GOLF COURS,53.47794898,-113.4207306,0.0341666667,10.0d 06:00:00,10.0d 14:45:00,1,neighbourhood,1,B1,996.0_0,10.0,0.0269736842,996.0,
1048.0_0_B1,,D,CHARLESWORTH,CENTER MEIDAIN - WATT BLVD TO WATT COMMON,53.42474558,-113.4309533,0.0415277778,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1048.0_0,,0.0327850877,1048.0,
1050.0_0_B1,,D,CHARLESWORTH,SOUTH BUFFER - WATT BLVD TO WATT COMMON,53.42493252,-113.4311662,0.0830555556,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1050.0_0,,0.0655701754,1050.0,
1113.0_0_B1,,D,PARSONS INDUSTRIAL,WS/C 91 ST BTWN 23 & 28 AVE,53.45538745,-113.467122,0.1598611111,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1113.0_0,,0.1262061404,1113.0,
1313.0_0_B1,,D,LARKSPUR,37-38 AVE & 32-34 ST,53.47213596,-113.3919408,0.0505555556,10.0d 06:00:00,10.0d 14:45:00,1,neighbourhood,1,B1,1313.0_0,10.0,0.0399122807,1313.0,
1450.0_0_B1,,D,RICHFIELD,BTWN-85-91 ST,53.46912852,-113.4624634,0.0533333333,10.0d 06:00:00,10.0d 14:45:00,1,neighbourhood,1,B1,1450.0_0,10.0,0.0421052632,1450.0,
1792.0_0_B1,,D,KINISKI GARDENS,NORTH SIDE/C OF 38 AVE-BTWN 38 ST-WW AT,53.47299555,-113.3954121,0.0186111111,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1792.0_0,,0.0146929825,1792.0,
1814.0_0_B1,,D,LARKSPUR,43A AVE - WHITEMUD DRIVE WEST OF 23 ST,53.48249405,-113.3806965,0.0738888889,10.0d 06:00:00,10.0d 14:45:00,1,neighbourhood,1,B1,1814.0_0,10.0,0.0583333333,1814.0,
1896.0_0_B1,,D,MINCHAU,N/S 34 AVE: 34 ST - MILLWOODS RD E,53.46389669,-113.4003169,0.0829166667,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1896.0_0,,0.0654605263,1896.0,
1944.0_0_B1,,D,KINISKI GARDENS,E/S & C 34 ST: WHITEMUD DR - 38 AVE,53.48098194,-113.393479,0.0854166667,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1944.0_0,,0.0674342105,1944.0,
1967.0_0_B1,,D,CRAWFORD PLAINS,SOUTH SIDE MILLWOODS RD S-BTWN 50 ST-C,53.44403276,-113.4110643,0.1320833333,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,1967.0_0,,0.1042763158,1967.0,
2705.0_0_B1,,D,WEINLOS,SOUTH SIDE 34 AVE BTWN 50 ST-MILLWOODS RD E,53.46433258,-113.4123796,0.10125,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,2705.0_0,,0.0799342105,2705.0,
2761.0_0_B1,,D,MEYOKUMIN,WEST SIDE 50 ST BTWN MILLWOODS RD S-23,53.44946359,-113.4197467,0.1011111111,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,2761.0_0,,0.0798245614,2761.0,
2870.0_0_B1,,D,POLLARD MEADOWS,N/S & W/S MILL WOODS ROAD: 17 AVE - 46 ST,53.44309506,-113.4053314,0.0173611111,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,2870.0_0,,0.0137061404,2870.0,
3044_0_B1,,D,LEE RIDGE,SS 38 AVE BTWN MILLBOURNE RD E & 66 ST,53.47414851,-113.4419587,0.0325,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3044_0,,0.0256578947,3044,
3119_0_B1,,D,MEYONOHK,NORTH SIDE 23 AVE-BTWN 91 ST-MILLWOODS,53.45249733,-113.4573378,0.1469444444,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3119_0,,0.1160087719,3119,
3432_0_B1,,D,MILL WOODS GOLF COURSE,EAST SIDE/C 50 ST-BTWN 40 AVE-WHITEMUD,53.48054226,-113.417776,0.1388888889,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3432_0,,0.1096491228,3432,
3455_0_B1,,D,MINCHAU,EAST SIDE/WS MILLWOODS RD E BTWN 34 & 3,53.46615353,-113.407974,0.0608333333,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3455_0,,0.0480263158,3455,
3492_0_B1,,D,BISSET,N/S 23 AVE: 38 ST - 34 ST,53.45401563,-113.3968153,0.0266666667,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3492_0,,0.0210526316,3492,
3542_0_B1,,D,LEE RIDGE,WS 66 ST: 34 AVE - 38 AVE,53.46988496,-113.438231,0.1077777778,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3542_0,,0.0850877193,3542,
3554_0_B1,,D,PARSONS INDUSTRIAL,23 AVE: PARSONS ROAD - 91 ST,53.45203938,-113.4729644,0.0922222222,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3554_0,,0.0728070175,3554,
3653_0_B1,,D,KINISKI GARDENS,SOUTH SIDE 38 AVE-BTWN KAASA RD E-WW A,53.47276949,-113.3957114,0.0225,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3653_0,,0.0177631579,3653,
3687_0_B1,,D,HILLVIEW,NORTH SIDE 34 AVE-66-50 ST,53.46555259,-113.4282364,0.0916666667,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3687_0,,0.0723684211,3687,
3693_0_B1,,D,POLLARD MEADOWS,NORTH SIDE MILLWOODS RD S BTWN 50-46 S,53.44525572,-113.4146298,0.0563888889,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3693_0,,0.0445175439,3693,
3780_0_B1,,D,MICHAELS PARK,WEST SIDE 66 ST BTWN 38 AVE-WHITEMUD D,53.47769273,-113.4412082,0.1030555556,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3780_0,,0.0813596491,3780,
3829_0_B1,,D,DALY GROVE,EAST SIDE MILLWOODS RD E. BTWN 17-20 AV,53.44864509,-113.4054258,0.0386111111,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3829_0,,0.0304824561,3829,
3847_0_B1,,D,MICHAELS PARK,NORTH SIDE 38 AVE BTWN 76-66 ST,53.47437214,-113.4429092,0.0505555556,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3847_0,,0.0399122807,3847,
3883_0_B1,,D,TAWA,E/S & C 66 ST: 28 AVE - 34 AVE,53.46287218,-113.4348846,0.0775,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3883_0,,0.0611842105,3883,
3917_0_B1,,D,BISSET,E/S MILLWOODS RD E: 23 AVE - 34 AVE,53.46009893,-113.4071101,0.0976388889,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3917_0,,0.0770833333,3917,
3921_0_B1,,D,MILL WOODS GOLF COURSE,EAST SIDE/C 66 ST: 38 AVE-WHITEMUD DRIVE,53.47947008,-113.4412674,0.1486111111,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3921_0,,0.1173245614,3921,
3951_0_B1,,D,KINISKI GARDENS,W/S 34 ST: WHITEMUD DR - 38 AVE,53.4802683,-113.3939614,0.0377777778,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3951_0,,0.0298245614,3951,
3977_0_B1,,D,GREENVIEW,WEST SIDE 50 ST BTWN 38-40 AVE,53.4731319,-113.4160265,0.0402777778,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3977_0,,0.0317982456,3977,
3990_0_B1,,D,MINCHAU,N/S 34 AVE: 50 ST - MILLWOODS RD E,53.46466558,-113.4133456,0.0844444444,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,3990_0,,0.0666666667,3990,
4034_0_B1,,D,MINCHAU,EAST SIDE/C 50 ST 38 - 40 AVE,53.47302522,-113.4155722,0.0626388889,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,4034_0,,0.0494517544,4034,
4039_0_B1,,D,KING EDWARD PARK,WEST SIDE 50 ST BTWN 28-34 AVE,53.46305567,-113.4211035,0.0948611111,0d 06:00:00,9d 14:45:00,1,roadway,10,B1,4039_0,,0.0748903509,4039,
