vehicle-Id,activity,job-Id,arrTime,endTime
GBY-72-1_1_3,start,,undef,0.0
GBY-72-1_1_3,delivery,1017.0_0_B1,78.30253333333333,79.10771754219734
GBY-72-1_1_3,delivery,3767_0_B1,79.19656754219733,86.09814648885732
GBY-72-1_1_3,end,,86.09814648885732,undef
GBY-72-1_1_4,start,,undef,0
GBY-72-1_1_4,delivery,2898.0_0_B1,102.18311666666666,102.23877455997867
GBY-72-1_1_4,delivery,4578_0_B1,102.32679955997867,102.93161534885867
GBY-72-1_1_4,delivery,3959_0_B1,103.10259034885867,104.43837982218867
GBY-72-1_1_4,delivery,4075_0_B1,104.493938155522,110.13393815665201
GBY-72-1_1_4,delivery,3108_0_B1,110.33415482331867,110.51968113774267
GBY-72-1_1_4,end,,110.51968113774267,undef
GBY-72-1_1_5,start,,undef,0
GBY-72-1_1_5,delivery,4179_0_A2,126.277225,126.95625131668
GBY-72-1_1_5,delivery,1193.0_0_A2,127.44991798334667,133.80976008890667
GBY-72-1_1_5,end,,133.80976008890667,undef
GBY-72-1_1_6,start,,undef,0
GBY-72-1_1_6,delivery,4562_0_B1,150.16049166666667,151.62614956110667
GBY-72-1_1_6,delivery,2604_0_B1,152.48435789444,152.870252632232
GBY-72-1_1_6,delivery,4452_0_B1,153.60223596556534,155.82855175557535
GBY-72-1_1_6,delivery,568.0_0_B1,155.85246842224203,156.112205264466
GBY-72-1_1_6,delivery,1075.0_0_B1,156.34857193113268,157.61015088004268
GBY-72-1_1_6,end,,157.61015088004268,undef
GBY-72-2_1_3,start,,undef,0
GBY-72-2_1_3,delivery,4489_0_B1,78.30959166666666,79.35596008664666
GBY-72-2_1_3,delivery,3957_0_B1,79.39499341998,80.40054605221
GBY-72-2_1_3,delivery,1894.0_0_B1,80.44804605221,83.47954605108
GBY-72-2_1_3,delivery,4437_0_B1,83.56048771774667,84.52151403329867
GBY-72-2_1_3,delivery,4374_0_B1,84.80270569996534,84.90660043550135
GBY-72-2_1_3,delivery,1658.0_0_B1,84.91210876883468,86.32210876996469
GBY-72-2_1_3,end,,86.32210876996469,undef
GBY-72-2_1_4,start,,undef,0
GBY-72-2_1_4,delivery,4622_0_B1,102.21546666666667,103.38428245667667
GBY-72-2_1_4,delivery,3611_0_B1,103.44191579001,105.66823158002
GBY-72-2_1_4,delivery,2798.0_0_B1,105.73549824668667,106.14365614112667
GBY-72-2_1_4,delivery,2466.0_0_B1,106.29838947446001,106.55070526559601
GBY-72-2_1_4,delivery,2465.0_0_B1,106.56853026559601,106.93587237228401
GBY-72-2_1_4,delivery,1860.0_0_B1,106.97369737228401,107.400407897828
GBY-72-2_1_4,delivery,4643_0_B1,107.425557897828,109.948715792268
GBY-72-2_1_4,delivery,3134_0_B1,110.12947412560133,110.54134254558534
GBY-72-2_1_4,end,,110.54134254558534,undef
GBY-72-2_1_5,start,,undef,0
GBY-72-2_1_5,delivery,4091_0_B1,126.08875,126.975565791136
GBY-72-2_1_5,delivery,2900.0_0_B1,127.16849912446934,127.53584123115733
GBY-72-2_1_5,delivery,4556_0_B1,127.631482897824,129.442219738924
GBY-72-2_1_5,delivery,1970.0_0_B1,129.509269738924,129.64655921112399
GBY-72-2_1_5,delivery,3121_0_A1,129.75604254445733,130.01577938668132
GBY-72-2_1_5,delivery,2380.0_0_B1,130.06186272001466,134.66291535224465
GBY-72-2_1_5,end,,134.66291535224465,undef
GBY-72-2_1_6,start,,undef,0
GBY-72-2_1_6,delivery,4396_0_B1,150.3441,150.462836841096
GBY-72-2_1_6,delivery,2550.0_0_B1,150.53456184109598,150.61619341998397
GBY-72-2_1_6,delivery,2549.0_0_B1,150.62848508665064,150.72866929664264
GBY-72-2_1_6,delivery,2551.0_0_B1,150.81409429664262,150.9179890321786
GBY-72-2_1_6,delivery,1477.0_0_B1,150.92955569884526,150.98150306661327
GBY-72-2_1_6,delivery,2552.0_0_B1,151.01214473327994,151.08264473215195
GBY-72-2_1_6,delivery,3974_0_B1,151.60422806548527,157.66722806661528
GBY-72-2_1_6,end,,157.66722806661528,undef
GBY-72-3_1_3,start,,undef,0
GBY-72-3_1_3,delivery,2546.0_0_B1,78.333175,78.874911841096
GBY-72-3_1_3,delivery,4583_0_B1,78.98725350776266,84.77567456110266
GBY-72-3_1_3,delivery,2527.0_0_B1,84.96784956110267,86.60790219333266
GBY-72-3_1_3,end,,86.60790219333266,undef
GBY-72-3_1_4,start,,undef,0
GBY-72-3_1_4,delivery,3840_0_B1,102.31285,102.401902629976
GBY-72-3_1_4,delivery,4190_0_B1,102.44656096330932,110.27206096330933
GBY-72-3_1_4,end,,110.27206096330933,undef
GBY-72-3_1_5,start,,undef,0
GBY-72-3_1_5,delivery,181.0_0_B1,126.07759166666666,127.00522324555466
GBY-72-3_1_5,delivery,439.0_0_A1,127.01840657888799,134.11664341998798
GBY-72-3_1_5,end,,134.11664341998798,undef
GBY-72-3_1_6,start,,undef,0
GBY-72-3_1_6,delivery,4012_0_B1,150.337975,150.709027632232
GBY-72-3_1_6,delivery,1316.0_0_B1,150.778177632232,151.768888158904
GBY-72-3_1_6,delivery,132.0_0_B1,151.92787982557067,154.85919561445067
GBY-72-3_1_6,delivery,1906.0_0_A2,155.16551228111734,158.51611754445733
GBY-72-3_1_6,end,,158.51611754445733,undef
GBY-72-4_1_3,start,,undef,0
GBY-72-4_1_3,delivery,4261_0_B1,78.08120833333334,81.36131359779334
GBY-72-4_1_3,delivery,4623_0_B1,81.48873026446,83.19557237002
GBY-72-4_1_3,delivery,3120_0_B1,83.35393070335334,83.61366754557734
GBY-72-4_1_3,delivery,2379.0_0_B1,83.70469254557734,86.58777149223735
GBY-72-4_1_3,end,,86.58777149223735,undef
GBY-72-4_1_4,start,,undef,0
GBY-72-4_1_4,delivery,3109_0_B1,102.20765,102.292992104432
GBY-72-4_1_4,delivery,4557_0_B1,102.41065877109867,103.58318508664867
GBY-72-4_1_4,delivery,3182_0_B1,103.742068419982,107.823647367762
GBY-72-4_1_4,delivery,4262_0_B1,107.92828070109535,108.36241228111135
GBY-72-4_1_4,delivery,440.0_0_B1,108.53471228111135,108.67942280778335
GBY-72-4_1_4,delivery,1966.0_0_B1,108.87193114111669,110.23740482556668
GBY-72-4_1_4,delivery,4288_0_B1,110.30288815890002,110.50696710781202
GBY-72-4_1_4,end,,110.50696710781202,undef
GBY-72-4_1_5,start,,undef,0
GBY-72-4_1_5,delivery,3449_0_B1,126.48325,128.69472368445
GBY-72-4_1_5,delivery,2973_0_B1,128.83691535111666,130.73670482557665
GBY-72-4_1_5,delivery,3384_0_B1,130.87357149224331,133.79375570110332
GBY-72-4_1_5,end,,133.79375570110332,undef
GBY-72-4_1_6,start,,undef,0
GBY-72-4_1_6,delivery,3123_0_B1,150.17195833333332,150.39458991334934
GBY-72-4_1_6,delivery,2386.0_0_B1,150.66334824668266,151.03440087891465
GBY-72-4_1_6,delivery,4198_0_B1,151.07145087891465,152.41466140671466
GBY-72-4_1_6,delivery,994667_0_B1,152.59221140671465,156.26934298560465
GBY-72-4_1_6,delivery,4655_0_B1,156.3115846522713,156.72716360118332
GBY-72-4_1_6,delivery,3958_0_B1,156.8736136011833,158.1611662322833
GBY-72-4_1_6,delivery,182.0_0_B1,158.42660789894998,158.64181842449398
GBY-72-4_1_6,end,,158.64181842449398,undef
GBY-72-5_1_3,start,,undef,0
GBY-72-5_1_3,delivery,4546_0_B1,78.496275,85.13811710443
GBY-72-5_1_3,end,,85.13811710443,undef
GBY-72-5_1_4,start,,undef,0
GBY-72-5_1_4,delivery,4604_0_B1,102.140325,104.07721973666
GBY-72-5_1_4,delivery,4676_0_B1,104.15224473666,107.35442894778
