vehicle-Id,activity,job-Id,arrTime,endTime
MWD-72-1_1_0,start,,undef,0.0
MWD-72-1_1_0,delivery,9920_0_B1,6.3876333333333335,7.5060807012433335
MWD-72-1_1_0,delivery,3416_0_B1,7.768855701243334,9.447750437063334
MWD-72-1_1_0,delivery,1113.0_0_B1,9.695758770396667,12.512679824126668
MWD-72-1_1_0,delivery,3554_0_B1,12.576404824126667,14.201457454726668
MWD-72-1_1_0,end,,14.201457454726668,undef
MWD-72-1_1_1,start,,undef,0
MWD-72-1_1_1,delivery,666.0_0_B1,30.479766666666666,31.221319298010666
MWD-72-1_1_1,delivery,9684_0_B1,31.279760964677333,32.24891885870933
MWD-72-1_1_1,delivery,9962_0_B1,32.95461885870933,33.94825043855733
MWD-72-1_1_1,delivery,2106_0_B1,33.95032543855733,34.30274649154133
MWD-72-1_1_1,delivery,3745_0_B1,34.52595482487466,35.93074429875466
MWD-72-1_1_1,delivery,10151_0_B1,36.15560263208799,36.56186579029599
MWD-72-1_1_1,delivery,4081_0_B1,36.75659079029599,38.195643421635985
MWD-72-1_1_1,end,,38.195643421635985,undef
MWD-72-1_1_2,start,,undef,0
MWD-72-1_1_2,delivery,3472_0_B1,54.20395,54.546581579104
MWD-72-1_1_2,delivery,4554_0_B1,54.666256579104,54.984414474624
MWD-72-1_1_2,delivery,5845_0_B1,55.138914474624,55.74341447388
MWD-72-1_1_2,delivery,9683_0_B1,55.905939473880004,56.189834209704
MWD-72-1_1_2,delivery,9682_0_B1,56.23945087637067,56.59187192935467
MWD-72-1_1_2,delivery,9921_0_B1,56.67671359602134,57.73887149080134
MWD-72-1_1_2,delivery,3532_0_B1,57.91652982413467,58.72171403458267
MWD-72-1_1_2,delivery,3287_0_B1,58.764214034582665,58.893924560702665
MWD-72-1_1_2,delivery,3829_0_B1,59.08944956070267,59.76981798085467
MWD-72-1_1_2,delivery,3492_0_B1,59.912301314188,60.3821960515
MWD-72-1_1_2,delivery,3127_0_B1,60.6627710515,62.615771051500005
MWD-72-1_1_2,end,,62.615771051500005,undef
MWD-72-2_1_0,start,,undef,0
MWD-72-2_1_0,delivery,2601.0_0_B1,6.322258333333333,9.814653069153334
MWD-72-2_1_0,delivery,2469.0_0_B1,9.841961402486668,11.303040349506668
MWD-72-2_1_0,delivery,859.0_0_B1,11.348265349506669,11.426581138314669
MWD-72-2_1_0,delivery,1905.0_0_B1,11.538781138314668,12.326833768914668
MWD-72-2_1_0,delivery,1837.0_0_B1,12.687850435581334,12.842034645285334
MWD-72-2_1_0,delivery,3196_0_B1,12.964492978618669,14.467177189068668
MWD-72-2_1_0,end,,14.467177189068668,undef
MWD-72-2_1_1,start,,undef,0
MWD-72-2_1_1,delivery,3115_0_B1,30.148741666666666,32.10174166666667
MWD-72-2_1_1,delivery,3163_0_B1,32.26416666666667,33.29450877188667
MWD-72-2_1_1,delivery,128.0_0_B1,33.30801710522,34.338359210440004
MWD-72-2_1_1,delivery,1889.0_0_B1,34.42503421044,35.52390263059
MWD-72-2_1_1,delivery,2955.0_0_B1,35.64585263059,36.93072105223
MWD-72-2_1_1,delivery,789.0_0_B1,37.00226271889667,38.372789035316664
MWD-72-2_1_1,end,,38.372789035316664,undef
MWD-72-2_1_2,start,,undef,0
MWD-72-2_1_2,delivery,3859_0_B1,54.34811666666667,55.37356403606667
MWD-72-2_1_2,delivery,4033_0_B1,55.38021403606667,55.451187721138666
MWD-72-2_1_2,delivery,3977_0_B1,55.550437721138664,56.260174562930665
MWD-72-2_1_2,delivery,4034_0_B1,56.261432896264,57.365196054474
MWD-72-2_1_2,delivery,3640_0_B1,57.46693772114067,57.83404298382867
MWD-72-2_1_2,delivery,3734_0_B1,57.83521798382867,58.297770615172674
MWD-72-2_1_2,delivery,2915.0_0_B1,58.509470615172674,58.913286405468675
MWD-72-2_1_2,delivery,2914.0_0_B1,58.92725307213534,59.857253072879345
MWD-72-2_1_2,delivery,2935.0_0_B1,59.87470307287934,61.96230833705934
MWD-72-2_1_2,end,,61.96230833705934,undef
MWD-72-3_1_0,start,,undef,0
MWD-72-3_1_0,delivery,3921_0_B1,6.331458333333333,8.950142543783333
MWD-72-3_1_0,delivery,3847_0_B1,9.024984210449999,9.915826315673998
MWD-72-3_1_0,delivery,3596_0_B1,10.111651315673997,11.274151314933997
MWD-72-3_1_0,delivery,1622.0_0_B1,11.46428464826733,11.56462675274733
MWD-72-3_1_0,delivery,10155_0_B1,11.776493419413997,13.279177629863998
MWD-72-3_1_0,end,,13.279177629863998,undef
MWD-72-3_1_1,start,,undef,0
MWD-72-3_1_1,delivery,2870.0_0_B1,30.335866666666668,30.641787720394667
MWD-72-3_1_1,delivery,777.0_0_B1,30.753087720394667,31.609666668154667
MWD-72-3_1_1,delivery,5725_0_B1,31.821883334821333,33.30254122960133
MWD-72-3_1_1,delivery,4344_0_B1,33.44264122960133,37.51506228333133
MWD-72-3_1_1,delivery,976.0_0_B1,37.585695616664665,38.363958775616666
MWD-72-3_1_1,end,,38.363958775616666,undef
MWD-72-3_1_2,start,,undef,0
MWD-72-3_1_2,delivery,2683.0_0_B1,54.18635833333333,55.03559517512533
MWD-72-3_1_2,delivery,4443_0_B1,55.118936841792,55.7552526306
MWD-72-3_1_2,delivery,1154_0_B1,55.9218026306,56.328065788808
MWD-72-3_1_2,delivery,674_0_B1,56.430840788808,58.878209209708
MWD-72-3_1_2,delivery,3503_0_B1,59.02996754304133,62.040230701991334
MWD-72-3_1_2,end,,62.040230701991334,undef
MWD-72-4_1_0,start,,undef,0
MWD-72-4_1_0,delivery,1850.0_0_B1,6.457633333333334,6.626501754973334
MWD-72-4_1_0,delivery,3730_0_B1,6.6922934216400005,6.8538197373120004
MWD-72-4_1_0,delivery,596.0_0_B1,7.197628070645334,11.602891229595334
MWD-72-4_1_0,delivery,3333_0_B1,11.793282896262001,12.644967105966002
MWD-72-4_1_0,delivery,724.0_0_B1,12.844317105966002,13.062132894774003
MWD-72-4_1_0,delivery,579.0_0_B1,13.290591228107337,14.181433333331336
MWD-72-4_1_0,end,,14.181433333331336,undef
MWD-72-4_1_1,start,,undef,0
MWD-72-4_1_1,delivery,2172.0_0_B1,30.621833333333335,30.651201754973336
MWD-72-4_1_1,delivery,7149_0_B1,30.736401754973336,34.02811228183334
MWD-72-4_1_1,delivery,4584_0_B1,34.26574561516667,38.29900877337667
MWD-72-4_1_1,end,,38.29900877337667,undef
MWD-72-4_1_2,start,,undef,0
MWD-72-4_1_2,delivery,4644_0_B1,54.4174,55.325373685072
MWD-72-4_1_2,delivery,4689_0_B1,55.52594035173867,57.87786140397867
MWD-72-4_1_2,delivery,207.0_0_B1,58.05107807064534,58.95905175571734
MWD-72-4_1_2,delivery,3707_0_B1,59.08597675571734,60.89458201989734
MWD-72-4_1_2,delivery,4199_0_B1,61.23615701989734,62.27628859899734
MWD-72-4_1_2,end,,62.27628859899734,undef
MWD-72-5_1_0,start,,undef,0
MWD-72-5_1_0,delivery,4545_0_B1,6.27235,7.231718420152
MWD-72-5_1_0,delivery,1447.0_0_B1,7.2370600868186665,7.599270613682666
MWD-72-5_1_0,delivery,2645.0_0_B1,7.673495613682666,10.639706139062667
MWD-72-5_1_0,delivery,2499.0_0_B1,10.813106139062668,11.297685086078669
MWD-72-5_1_0,delivery,979.0_0_B1,11.400093419412002,14.508251314932002
MWD-72-5_1_0,end,,14.508251314932002,undef
MWD-72-6_1_0,start,,undef,0
MWD-72-6_1_0,delivery,2905.0_0_B1,6.37475,6.462855262688
MWD-72-6_1_0,delivery,1792.0_0_B1,6.639621929354666,6.9675692987546665
MWD-72-6_1_0,delivery,3653_0_B1,6.993302632088,7.3897763164159995
MWD-72-6_1_0,delivery,906.0_0_B1,7.409834649749333,7.461229387061333
MWD-72-6_1_0,delivery,3896_0_B1,7.480246053727999,7.715193422383999
MWD-72-6_1_0,delivery,3245_0_B1,7.715776755717332,7.909118860941332
MWD-72-6_1_0,delivery,3907_0_B1,7.995485527607999,8.57551184328
MWD-72-6_1_0,delivery,4024_0_B1,8.615945176613332,8.713839913181332
MWD-72-6_1_0,delivery,4039_0_B1,8.889573246514665,10.561125878604665
MWD-72-6_1_0,delivery,3276_0_B1,10.630934211937998,13.670565790297998
MWD-72-6_1_0,delivery,2913.0_0_B1,13.703957456964664,14.501799561444665
MWD-72-6_1_0,end,,14.501799561444665,undef
MWD-72-7_1_0,start,,undef,0
MWD-72-7_1_0,delivery,1048.0_0_B1,6.417475,7.149238157464
MWD-72-7_1_0,delivery,3122_1_0_B1,7.583388157463999,10.872651316414
MWD-72-7_1_0,delivery,3122_0_0_B1,10.872651316414,14.161914475364
MWD-72-7_1_0,end,,14.161914475364,undef
MWD-72-8_1_0,start,,undef,0
MWD-72-8_1_0,delivery,3405_0_B1,6.429491666666666,6.737860088306666
MWD-72-8_1_0,delivery,3706_0_B1,6.7924267549733335,7.188900439301333
MWD-72-8_1_0,delivery,2587.0_0_B1,7.231383772634667,7.799173246514666
MWD-72-8_1_0,delivery,665_0_B1,8.055781579848,8.427781580592
MWD-72-8_1_0,delivery,1990_0_B1,8.773631580592001,11.504894739542001
MWD-72-8_1_0,delivery,3119_0_B1,11.895211406208668,14.484527195018668
MWD-72-8_1_0,end,,14.484527195018668,undef
MWD-72-1_2_5,start,,undef,0
MWD-72-1_2_5,delivery,2499.0_1_B1,294.1729916666667,294.6575706136827
MWD-72-1_2_5,delivery,1447.0_1_B1,294.7567372803494,295.1189478072134
MWD-72-1_2_5,delivery,2645.0_1_B1,295.1931728072134,298.1593833325934
MWD-72-1_2_5,delivery,859.0_1_B1,298.20842499926005,298.2867407880681
MWD-72-1_2_5,delivery,1905.0_1_B1,298.39894078806805,299.18699341866807
MWD-72-1_2_5,delivery,3596_1_B1,299.31381841866806,300.47631841792804
MWD-72-1_2_5,delivery,724.0_1_B1,300.7603267512614,300.9781425400694
MWD-72-1_2_5,delivery,2711.0_1_B1,301.3259842067361,302.5839315746461
MWD-72-1_2_5,end,,302.5839315746461,undef
MWD-72-1_2_0,start,,undef,0
MWD-72-1_2_0,delivery,5808_0_B1,174.61101666666667,174.88756929875467
MWD-72-1_2_0,delivery,1944.0_0_B1,175.07683596542134,176.58196754378133
MWD-72-1_2_0,delivery,3951_0_B1,176.66134254378133,177.32702675422934
MWD-72-1_2_0,delivery,3455_0_B1,177.58118508756266,178.65313245622266
MWD-72-1_2_0,delivery,2705.0_0_B1,178.70657412288932,180.4907057012493
MWD-72-1_2_0,delivery,3183_0_B1,180.63515570124932,182.1329451758693
MWD-72-1_2_0,delivery,2491.0_0_B1,182.17275350920264,182.36609561442663
MWD-72-1_2_0,end,,182.36609561442663,undef
MWD-72-1_2_1,start,,undef,0
MWD-72-1_2_1,delivery,402.0_0_B1,198.15156666666667,198.52356666741068
MWD-72-1_2_1,delivery,2233.0_0_B1,198.57149166741067,200.71049166667066
MWD-72-1_2_1,delivery,3517_0_B1,200.94939166667066,201.65912850846266
MWD-72-1_2_1,delivery,1896.0_0_B1,201.731386841796,203.192465788816
MWD-72-1_2_1,delivery,4650_0_B1,203.338115788816,203.99890526344
MWD-72-1_2_1,delivery,1623.0_0_B1,204.06058859677333,204.86087807139734
MWD-72-1_2_1,delivery,2255.0_0_B1,205.02121140473068,206.30852719428069
MWD-72-1_2_1,end,,206.30852719428069,undef
MWD-72-2_2_0,start,,undef,0
MWD-72-2_2_0,delivery,4221_0_B1,174.22043333333335,175.58606491169334
MWD-72-2_2_0,delivery,3990_0_B1,175.73357324502666,177.22157324576665
MWD-72-2_2_0,delivery,4260_0_B1,177.32523991243332,180.2620820184033
MWD-72-2_2_0,delivery,3917_0_B1,180.2635320184033,181.9840320176633
MWD-72-2_2_0,end,,181.9840320176633,undef
MWD-72-2_2_1,start,,undef,0
MWD-72-2_2_1,delivery,3542_0_B1,198.2553,200.15445789478
MWD-72-2_2_1,delivery,3044_0_B1,200.22987456144665,200.80255877115064
MWD-72-2_2_1,delivery,3780_0_B1,200.921892104484,202.737839472394
MWD-72-2_2_1,delivery,597.0_0_B1,202.83605613906067,203.8688456122007
MWD-72-2_2_1,delivery,1771.0_0_B1,204.07257061220068,206.40980745474067
MWD-72-2_2_1,end,,206.40980745474067,undef
MWD-72-3_2_5,start,,undef,0
MWD-72-3_2_5,delivery,2601.0_1_B1,294.3222583333333,297.81465306915334
MWD-72-3_2_5,delivery,2469.0_1_B1,297.8419614024867,299.30304034950666
MWD-72-3_2_5,delivery,3196_1_B1,299.61037368284,301.11305789329003
MWD-72-3_2_5,end,,301.11305789329003,undef
MWD-72-3_2_0,start,,undef,0
MWD-72-3_2_0,delivery,4366_0_B1,174.14981666666668,174.66865877114668
MWD-72-3_2_0,delivery,3043_0_B1,174.72140043781334,177.11982149154335
MWD-72-3_2_0,delivery,4365_0_B1,177.24219649154335,179.44482806990337
MWD-72-3_2_0,delivery,2577.0_0_B1,179.5321864032367,180.51847587711669
MWD-72-3_2_0,delivery,2581.0_0_B1,180.58671754378335,181.32092806915935
MWD-72-3_2_0,end,,181.32092806915935,undef
MWD-72-3_2_1,start,,undef,0
MWD-72-3_2_1,delivery,2080.0_0_B1,198.3247,199.32812105373
MWD-72-3_2_1,delivery,4490_0_B1,199.55771272039667,200.38492324651668
MWD-72-3_2_1,delivery,4688_0_B1,200.53871491318336,202.63366228109336
MWD-72-3_2_1,delivery,4483_0_B1,202.8872456144267,203.8270350890507
MWD-72-3_2_1,delivery,4204_0_B1,203.89882675571735,206.21893201840734
MWD-72-3_2_1,end,,206.21893201840734,undef
MWD-72-3_2_2,start,,undef,0
MWD-72-3_2_2,delivery,3527_0_B1,222.39393333333334,226.30972280721335
MWD-72-3_2_2,delivery,3831_0_B1,226.47167280721334,229.49662017587335
MWD-72-3_2_2,end,,229.49662017587335,undef
MWD-72-4_2_0,start,,undef,0
MWD-72-4_2_0,delivery,2892.0_0_B1,174.19790833333334,176.12398727960334
MWD-72-4_2_0,delivery,1980.0_0_B1,176.31482061293667,178.56639956069668
MWD-72-4_2_0,delivery,1967.0_0_B1,178.72480789403002,181.05225526269
MWD-72-4_2_0,delivery,3693_0_B1,181.0749219293567,182.0685535092047
MWD-72-4_2_0,end,,182.0685535092047,undef
MWD-72-4_2_1,start,,undef,0
MWD-72-4_2_1,delivery,3687_0_B1,198.2414,199.85666315895
MWD-72-4_2_1,delivery,3883_0_B1,199.92405482561668,201.28968640397667
MWD-72-4_2_1,delivery,4157_0_B1,201.35600307064334,201.76226622885133
MWD-72-4_2_1,delivery,3477_0_B1,201.87609122885132,202.91622280795133
MWD-72-4_2_1,delivery,2954.0_0_B1,203.04343114128466,204.30137850919465
MWD-72-4_2_1,delivery,2711.0_0_B1,204.31411184252798,205.57205921043797
MWD-72-4_2_1,end,,205.57205921043797,undef
MWD-72-5_2_5,start,,undef,0
MWD-72-5_2_5,delivery,5845_1_B1,294.478125,295.082624999256
MWD-72-5_2_5,delivery,9682_1_B1,295.2558416659227,295.6082627189067
MWD-72-5_2_5,delivery,1048.0_1_B1,295.6509627189067,296.3827258763707
MWD-72-5_2_5,delivery,9684_1_B1,296.4145925430374,297.38375043706935
MWD-72-5_2_5,delivery,9683_1_B1,297.383892103736,297.66778683956
MWD-72-5_2_5,delivery,9921_1_B1,297.7567785062267,298.8189364010067
MWD-72-5_2_5,delivery,2626.0_1_B1,298.9511530676734,299.20078464603336
MWD-72-5_2_5,delivery,9920_1_B1,299.29500964603335,300.41345701394334
MWD-72-5_2_5,delivery,3416_1_B1,300.6762320139433,302.3551267497633
MWD-72-5_2_5,end,,302.3551267497633,undef
MWD-72-6_2_0,start,,undef,0
MWD-72-6_2_0,delivery,3526_0_B1,174.25284166666665,176.61699956069666
MWD-72-6_2_0,delivery,9922_0_B1,176.9411662273633,178.1599557019833
MWD-72-6_2_0,delivery,1050.0_0_B1,178.25137236864998,179.71489868357997
MWD-72-6_2_0,delivery,3399_0_B1,180.01369035024663,182.30687456143664
MWD-72-6_2_0,end,,182.30687456143664,undef
MWD-72-7_2_0,start,,undef,0
MWD-72-7_2_0,delivery,2626.0_0_B1,174.29340833333333,174.54303991169334
MWD-72-7_2_0,delivery,2562.0_0_B1,174.72957324502667,175.53720482338667
MWD-72-7_2_0,delivery,3432_0_B1,175.75253815672,178.19990657762
MWD-72-7_2_0,delivery,4120_0_B1,178.35373157762,179.49420526120002
MWD-72-7_2_0,delivery,4485_0_B1,179.65022192786668,182.35701140100667
MWD-72-7_2_0,end,,182.35701140100667,undef
MWD-72-8_2_5,start,,undef,0
MWD-72-8_2_5,delivery,3432_1_B1,294.417425,296.86479342089996
MWD-72-8_2_5,delivery,3730_1_B1,297.0538017542333,297.2153280699053
MWD-72-8_2_5,delivery,1850.0_1_B1,297.28111973657195,297.44998815821197
MWD-72-8_2_5,delivery,5808_1_B1,297.7469464915453,298.0234991236333
MWD-72-8_2_5,delivery,4688_1_B1,298.08953245696665,300.18447982487663
MWD-72-8_2_5,delivery,4490_1_B1,300.3382714915433,301.1654820176633
MWD-72-8_2_5,delivery,3847_1_B1,301.4449070176633,302.3357491228873
MWD-72-8_2_5,end,,302.3357491228873,undef
MWD-72-8_2_0,start,,undef,0
MWD-72-8_2_0,delivery,4482_0_B1,174.20636666666667,175.89015614054668
MWD-72-8_2_0,delivery,2761.0_0_B1,175.93459780721335,177.71628201766336
MWD-72-8_2_0,delivery,4082_0_B1,177.84769868433003,178.71406710597003
MWD-72-8_2_0,delivery,3294_0_B1,178.80710043930335,180.58878464975336
MWD-72-8_2_0,delivery,2738.0_0_B1,180.59765131642004,182.38423026269004
MWD-72-8_2_0,end,,182.38423026269004,undef
MWD-72-1_3_6,start,,undef,0
MWD-72-1_3_6,delivery,4199_1_B1,486.1216416666667,487.16177324576665
MWD-72-1_3_6,delivery,3472_1_B1,487.2613399124333,487.6039714915373
MWD-72-1_3_6,delivery,3122_1_1_B1,487.769313158204,491.058576317154
MWD-72-1_3_6,delivery,3122_0_1_B1,491.058576317154,494.347839476104
MWD-72-1_3_6,end,,494.347839476104,undef
MWD-72-1_3_0,start,,undef,0
MWD-72-1_3_0,delivery,3294_1_B1,342.19504166666667,343.9767258771167
MWD-72-1_3_0,delivery,2914.0_1_B1,344.16300921045,345.093009211194
MWD-72-1_3_0,delivery,2683.0_1_B1,345.27036754452735,346.11960438631934
MWD-72-1_3_0,delivery,1113.0_1_B1,346.187196052986,349.004117106716
MWD-72-1_3_0,delivery,4081_1_B1,349.10642544004935,350.54547807138937
MWD-72-1_3_0,end,,350.54547807138937,undef
MWD-72-1_3_1,start,,undef,0
MWD-72-1_3_1,delivery,579.0_1_B1,366.18508333333335,367.07592543855736
MWD-72-1_3_1,delivery,4365_1_B1,367.17810043855735,369.38073201691736
MWD-72-1_3_1,delivery,2577.0_1_B1,369.4680903502507,370.4543798241307
MWD-72-1_3_1,delivery,789.0_1_B1,370.48907149079736,371.85959780721737
