,Depor,Unnamed: 0,capacity,cost-per-hour,cost-per-km,day,end-latitude,end-longitude,end-time,fixed-cost,number-of-vehicles,skills,speed-multiplier,start-latitude,start-longitude,start-time,vehicle-id,vehicle-name,waiting-cost-per-hour,yard
47,,0,10000,1,0.001,0,53.45417787,-113.4393666,14.75,100,1,roadway,1,53.45417787,-113.4393666,6,MWD-72-8_1_0,Y4677,0.5,MWD
69,,0,10000,1,0.001,4,53.515626,-113.4680529,110.75,100,1,neighbourhood,1,53.515626,-113.4680529,102,DON-72-1_1_4,W7456,0.5,DON
85,,0,10000,1,0.001,1,53.48534225,-113.5574225,38.75,100,1,neighbourhood,1,53.48534225,-113.5574225,30,RBV-72-3_1_1,W7461,0.5,RBV
107,,0,10000,1,0.001,3,53.48534225,-113.5574225,86.75,100,1,neighbourhood,1,53.48534225,-113.5574225,78,RBV-72-8_1_3,T4076,0.5,RBV
209,,0,10000,1,0.001,11,53.515626,-113.4680529,278.75,100,1,roadway,1,53.515626,-113.4680529,270,DON-72-1_2_4,W7456,0.5,DON
217,,0,10000,1,0.001,8,53.48534225,-113.5574225,206.75,100,1,neighbourhood,1,53.48534225,-113.5574225,198,RBV-72-1_2_1,W7458,0.5,RBV
218,,0,10000,1,0.001,9,53.48534225,-113.5574225,230.75,100,1,roadway,1,53.48534225,-113.5574225,222,RBV-72-1_2_2,W7458,0.5,RBV
221,,0,10000,1,0.001,8,53.48534225,-113.5574225,206.75,100,1,neighbourhood,1,53.48534225,-113.5574225,198,RBV-72-2_2_1,W7460,0.5,RBV
226,,0,10000,1,0.001,9,53.48534225,-113.5574225,230.75,100,1,neighbourhood,1,53.48534225,-113.5574225,222,RBV-72-3_2_2,W7461,0.5,RBV
269,,0,10000,1,0.001,11,53.42626956,-113.5713273,278.75,100,1,roadway,1,53.42626956,-113.5713273,270,ASY-72-2_2_4,Y4665,0.5,ASY
273,,0,10000,1,0.001,11,53.42626956,-113.5713273,278.75,100,1,roadway,1,53.42626956,-113.5713273,270,ASY-72-3_2_4,Y4669,0.5,ASY
277,,0,10000,1,0.001,11,53.42626956,-113.5713273,278.75,100,1,roadway,1,53.42626956,-113.5713273,270,ASY-72-4_2_4,Y4670,0.5,ASY
339,,0,10000,1,0.001,20,53.55975148,-113.414852,494.75,100,1,roadway,1,53.55975148,-113.414852,486,GBY-72-3_3_6,Y4667,0.5,GBY
5,MWD,0,10000,1,0.001,3,53.45417787,-113.4393666,86.75,100,1,neighbourhood,1,53.45417787,-113.4393666,78,MWD-5910-2_1_3,T4090,0.5,
16,MWD,0,10000,1,0.001,2,53.45417787,-113.4393666,62.75,100,1,neighbourhood,1,53.45417787,-113.4393666,54,MWD-5910-3_1_2,R4008,0.5,
54,ASY,0,10000,1,0.001,3,53.42626956,-113.5713273,86.75,100,1,neighbourhood,1,53.42626956,-113.5713273,78,ASY-1590-1_1_3,V4432,0.5,
55,ASY,0,10000,1,0.001,4,53.42626956,-113.5713273,110.75,100,1,neighbourhood,1,53.42626956,-113.5713273,102,ASY-1590-1_1_4,V4432,0.5,
56,ASY,0,10000,1,0.001,5,53.42626956,-113.5713273,134.75,100,1,neighbourhood,1,53.42626956,-113.5713273,126,ASY-1590-1_1_5,V4432,0.5,
57,ASY,0,10000,1,0.001,6,53.42626956,-113.5713273,158.75,100,1,neighbourhood,1,53.42626956,-113.5713273,150,ASY-1590-1_1_6,V4432,0.5,
73,MWD,0,10000,1,0.001,8,53.45417787,-113.4393666,206.75,100,1,neighbourhood,1,53.45417787,-113.4393666,198,MWD-5910-3_2_1,R4008,0.5,
79,MWD,0,10000,1,0.001,7,53.45417787,-113.4393666,182.75,100,1,neighbourhood,1,53.45417787,-113.4393666,174,MWD-5910-4_2_0,R4010,0.5,
106,RBV,0,10000,1,0.001,9,53.48534225,-113.5574225,230.75,100,1,neighbourhood,1,53.48534225,-113.5574225,222,RBV-5910-4_2_2,P4079,0.5,
112,ASY,0,10000,1,0.001,10,53.42626956,-113.5713273,254.75,100,1,neighbourhood,1,53.42626956,-113.5713273,246,ASY-1590-1_2_3,V4432,0.5,
113,ASY,0,10000,1,0.001,11,53.42626956,-113.5713273,278.75,100,1,neighbourhood,1,53.42626956,-113.5713273,270,ASY-1590-1_2_4,V4432,0.5,
114,ASY,0,10000,1,0.001,12,53.42626956,-113.5713273,302.75,100,1,neighbourhood,1,53.42626956,-113.5713273,294,ASY-1590-1_2_5,V4432,0.5,
115,ASY,0,10000,1,0.001,13,53.42626956,-113.5713273,326.75,100,1,neighbourhood,1,53.42626956,-113.5713273,318,ASY-1590-1_2_6,V4432,0.5,
