turf_name,latitude,longitude,service_address,pk_site_id,service_area_hectare,neighbourhood_id,turf_id,is_active,created_at,modified_at,duration_for_580d,duration_for_72gm,580d,72gm,service_site_id,service_level_id
1535 Wates Place,53.43219593,-113.6160202,btw. 1533 & 1537 Wates Pace,6,0.009,5575,75709,TRUE,2017-04-25 20:10:51.678984+00,2017-04-25 20:10:51.68+00,0:00:00,0:03:59,0,0.02,,900
MILL CREEK RAVINE/NEIGHBOURHOOD PARK,53.46538095,-113.3947684,NORTH OF 3453-35 ST,11,0.034,6370,74815,TRUE,2017-04-25 20:09:40.217509+00,2017-04-25 20:09:40.22+00,0:00:00,0:06:48,\N,0.034,37,900
WALKWAY,53.45277859,-113.5773108,BTWN 2427 & 2431 TEGLER GREEN,13,0.018,5640,75710,TRUE,2017-04-25 20:10:51.818689+00,2017-04-25 20:10:51.82+00,0:00:00,0:03:36,0,0.018,,900
BLVD,53.41533314,-113.4674006,88 St: West Side Summerside Grande Blvd - Savaryn Drive,14,0.114,6213,74816,TRUE,2017-04-25 20:09:40.38787+00,2017-04-25 20:09:40.39+00,0:00:00,0:22:48,0,0.114,,900
PUBLIC UTILITY LOT,53.43861792,-113.5155258,#215 RUNNING CREEK LANE,15,0.061,5511,75711,TRUE,2017-04-25 20:10:51.959855+00,2017-04-25 20:10:51.96+00,0:00:00,0:12:12,0,0.061,,900
PUBLIC UTILITY LOT,53.43908529,-113.516118,#207 RUNNING CREEK LANE,16,0.033,5511,75712,TRUE,2017-04-25 20:10:52.031342+00,2017-04-25 20:10:52.03+00,0:00:00,0:06:36,0,0.033,,900
WALKWAY,53.44662182,-113.5429514,#1332 - 119A St to #1350 - 119B St,19,0.094,5511,75713,TRUE,2017-04-25 20:10:52.103094+00,2017-04-25 20:10:52.1+00,0:00:00,0:18:48,0,0.094,,900
WALKWAY,53.42288077,-113.5109832,#624 Beck Close - #1322 Barnes Close,21,0.021,5453,75714,TRUE,2017-04-25 20:10:52.242259+00,2017-04-25 20:10:52.24+00,0:00:00,0:04:12,0,0.021,,900
WALKWAY,53.47190191,-113.5920745,821 REID PLACE TO REID CLOSE,23,0.047,5350,75715,TRUE,2017-04-25 20:10:52.381591+00,2017-04-25 20:10:52.38+00,0:00:00,0:09:24,0,0.047,,900
WALKWAY/RAVINE BUFFER,53.44904096,-113.5396948,#430 Twin Brooks Crescent to Twin Brooks Park & TWIN BROOKS PARK - 9B AVE,28,1.877,5511,75716,TRUE,2017-04-25 20:10:52.454506+00,2017-04-25 20:10:52.45+00,0:00:00,6:15:24,0,1.877,,900
WALKWAY,53.45142933,-113.5758177,BTWN 2335 & 2339 TAYLOR CLOSE,32,0.01,5640,75717,TRUE,2017-04-25 20:10:52.524575+00,2017-04-25 20:10:52.52+00,0:00:00,0:02:00,0,0.01,,900
ROAD ISLAND,53.46709856,-113.5123688,34A AVE-109A ST,38,0.191,5160,75718,TRUE,2017-04-25 20:10:52.663912+00,2017-04-25 20:10:52.66+00,0:00:00,0:38:12,0,0.191,,900
ROAD ISLAND,53.46503964,-113.5639002,#266 OMAND DRIVE,47,0.029,5300,75719,TRUE,2017-04-25 20:10:52.805514+00,2017-04-25 20:10:52.81+00,0:00:00,0:05:48,0,0.029,,900
ROAD ISLAND,53.46645287,-113.5667414,#244 OMAND DRIVE,50,0.062,5300,75720,TRUE,2017-04-25 20:10:52.875984+00,2017-04-25 20:10:52.88+00,0:00:00,0:12:24,0,0.062,,900
ROAD BUFFER (BACKAGE),53.46715388,-113.5885531,FALCONER ROAD-#1003-#1065,53,0.004,5190,75721,TRUE,2017-04-25 20:10:53.015112+00,2017-04-25 20:10:53.02+00,0:00:00,0:00:48,0,0.004,,900
WALKWAY (4 BRANCHES),53.47257764,-113.599631,#529Hefferman Dr.- #1014Heaver Bay- #1214HEWGILL Place -#1113 Henson Close,54,0.111,5230,75722,TRUE,2017-04-25 20:10:53.158435+00,2017-04-25 20:10:53.16+00,0:00:00,0:22:12,0,0.111,,900
NEIGHBOURHOOD PARK,53.53620179,-113.440336,74 ST-96B AVE,64,0.568,6550,74817,TRUE,2017-04-25 20:09:40.531711+00,2017-04-25 20:09:40.53+00,0:02:33,1:36:36,0.085,0.483,7,900
ROAD ISLAND/BUS STOP,53.51814912,-113.4199973,82 AVE-W OF 50 ST,69,0.032,6350,74818,TRUE,2017-04-25 20:09:40.672422+00,2017-04-25 20:09:40.67+00,0:00:00,0:06:24,\N,0.032,10,900
ROADWAY BLVD JAMHA ROAD,53.48499448,-113.4147234,N/S SIDE BTWN 50 ST & JACKSON ROAD,72,0.023,6330,74819,TRUE,2017-04-25 20:09:40.816399+00,2017-04-25 20:09:40.82+00,0:00:00,0:04:36,0,0.023,25,900
WALKWAY,53.44092299,-113.5226604,10A AVE-112A ST,73,0.037,5511,75723,TRUE,2017-04-25 20:10:53.231275+00,2017-04-25 20:10:53.23+00,0:00:00,0:07:24,0,0.037,,900
WALKWAY,53.43983641,-113.5205083,112 ST-09-10A AVE,74,0.016,5511,75724,TRUE,2017-04-25 20:10:53.302092+00,2017-04-25 20:10:53.3+00,0:00:00,0:03:12,0,0.016,,900
PIPELINE RIGHT OF WAY (NORTH BUFFER),53.43955434,-113.5223116,09 AVE-111-113 ST,75,0.529,5511,75725,TRUE,2017-04-25 20:10:53.372481+00,2017-04-25 20:10:53.37+00,0:15:52,0:00:00,0.529,0,,900
Municipal Reserve,53.45191419,-113.5734249,1053 Tory Road,93,0.243,5640,75726,TRUE,2017-04-25 20:10:53.442876+00,2017-04-25 20:10:53.44+00,0:05:17,0:13:24,0.176,0.067,,900
ROAD BUFFER,53.47191218,-113.5825752,Rehwinkle Road - from 3368 to #364 Rehwinkle Close,97,0.017,5350,75727,TRUE,2017-04-25 20:10:53.513572+00,2017-04-25 20:10:53.51+00,0:00:00,0:03:24,0,0.017,,900
ROAD ISLAND,53.47648078,-113.4318203,GRAND MEADOW CRESENT - E. OF 62 ST,100,0.008,6280,74820,TRUE,2017-04-25 20:09:40.958486+00,2017-04-25 20:09:40.96+00,0:00:00,0:01:36,\N,0.008,20,900
ROAD ISLAND,53.47706533,-113.4224579,56 ST - 41 AVE,101,0.048,6280,74821,TRUE,2017-04-25 20:09:41.032369+00,2017-04-25 20:09:41.03+00,0:00:00,0:09:36,\N,0.048,17,900
MAIN FEATURE PARK,53.45203263,-113.5855441,1960 TOMLINSON SQUARE,102,0.314,5640,75728,TRUE,2017-04-25 20:10:53.583932+00,2017-04-25 20:10:53.58+00,0:04:21,0:33:48,0.145,0.169,,900
PARK/ROAD ISLAND,53.51147159,-113.4623148,89 ST-75 AVE,103,0.321,6020,74822,TRUE,2017-04-25 20:09:41.181343+00,2017-04-25 20:09:41.18+00,0:01:26,0:54:36,0.048,0.273,2,900
WALKWAY,53.46691025,-113.5344493,33A AVE-116-117 ST,105,0.045,5490,75729,TRUE,2017-04-25 20:10:53.724003+00,2017-04-25 20:10:53.72+00,0:00:00,0:09:00,0,0.045,,900
RITCHIE C.L./NEIGHBOURHOOD PARK,53.51372262,-113.4813008,98 ST-77 AVE,106,1.281,6610,74823,TRUE,2017-04-25 20:09:41.328167+00,2017-04-25 20:09:41.33+00,0:05:46,3:37:48,0.192,1.089,3,900
LILIPUT PARK/PLGD,53.51014172,-113.4792693,97 ST-74 AVE,107,0.117,6610,74824,TRUE,2017-04-25 20:09:41.402555+00,2017-04-25 20:09:41.4+00,0:00:00,0:23:24,\N,0.117,4,900
WALKWAY,53.42017533,-113.5321705,#1717 Robertson Place to #1846 Robertson Crescent,110,0.044,5454,75730,TRUE,2017-04-25 20:10:53.863601+00,2017-04-25 20:10:53.86+00,0:00:00,0:08:48,0,0.044,,900
GRANITE PARK/PLGD,53.52256414,-113.507368,87 AVE-107 ST,112,0.151,5200,75731,TRUE,2017-04-25 20:10:54.003552+00,2017-04-25 20:10:54+00,0:00:00,0:30:12,0,0.151,,910
WALKWAY,53.46540512,-113.5623082,#439 OSBORNE CRESCENT,119,0.024,5300,75732,TRUE,2017-04-25 20:10:54.074544+00,2017-04-25 20:10:54.07+00,0:00:00,0:04:48,0,0.024,,900
ROAD ISLAND,53.4623889,-113.5648609,#228 OCKENDEN PLACE,120,0.016,5300,75733,TRUE,2017-04-25 20:10:54.150285+00,2017-04-25 20:10:54.15+00,0:00:00,0:03:12,0,0.016,,900
WALKWAY EAST END P.I.P.,53.47144703,-113.5909244,521 REID CLOSE TO 619 REVELL WYND,121,0.03,5350,75734,TRUE,2017-04-25 20:10:54.221103+00,2017-04-25 20:10:54.22+00,0:00:00,0:06:00,0,0.03,,900
ROADWAY-34 AVE,53.4660411,-113.4728329,N/S 34 AVE: 103 ST - 91 ST,128,0.561,6700,74825,TRUE,2017-04-25 20:09:41.548681+00,2017-04-25 20:09:41.55+00,0:04:12,1:24:12,0.14,0.421,5,900
ROADWAY (BACK ALLEY),53.51875284,-113.4242616,NORTH OF 82 AVE-50-64 ST,132,0.928,6350,74826,TRUE,2017-04-25 20:09:41.628192+00,2017-04-25 20:09:41.63+00,0:04:08,2:38:00,0.138,0.79,9,900
ROAD ISLAND,53.46366625,-113.5450078,#24 WESTBROOK DRIVE,134,0.033,5540,75735,TRUE,2017-04-25 20:10:54.360284+00,2017-04-25 20:10:54.36+00,0:00:00,0:06:36,0,0.033,,900
ROAD ISLAND,53.46258265,-113.5420315,WESTBROOK DRIVE-124 ST,135,0.081,5540,75736,TRUE,2017-04-25 20:10:54.432517+00,2017-04-25 20:10:54.43+00,0:00:00,0:16:12,0,0.081,,900
WALKWAY,53.45468813,-113.5575464,#1719 Hodgson Place to #1240 Hollands Close,136,0.01,5620,75737,TRUE,2017-04-25 20:10:54.573727+00,2017-04-25 20:10:54.57+00,0:00:00,0:02:00,0,0.01,,900
WALKWAY,53.45632971,-113.5610487,#1815 Holman Cres. to #1516 Hodgson Close,137,0.028,5620,75738,TRUE,2017-04-25 20:10:54.645424+00,2017-04-25 20:10:54.65+00,0:00:00,0:05:36,0,0.028,,900
WALKWAY,53.45802656,-113.5603199,#2040 & #2044 Hilliard Place,138,0.015,5620,75739,TRUE,2017-04-25 20:10:54.716026+00,2017-04-25 20:10:54.72+00,0:00:00,0:03:00,0,0.015,,900
ROAD MEDIAN,53.51487708,-113.4429069,75 ST-BTWN-76-80 AVE,147,0.056,6360,74827,TRUE,2017-04-25 20:09:41.768308+00,2017-04-25 20:09:41.77+00,0:00:00,0:11:12,\N,0.056,7,900
BLVDs,53.42490752,-113.5327273,Ellerslie Rd (9 Ave. SW) N. & S. side - (119 St.) to SCHOOL,152,2.014,5452,75740,TRUE,2017-04-25 20:10:54.85638+00,2017-04-25 20:10:54.86+00,0:54:00,0:42:48,1.8,0.214,,900
ROAD ISLAND,53.46848051,-113.5786735,#329 BUCHANAN WAY,160,0.013,5100,75741,TRUE,2017-04-25 20:10:54.92757+00,2017-04-25 20:10:54.93+00,0:00:00,0:02:36,0,0.013,,900
ROAD ISLAND,53.44181187,-113.4096613,12A AVE - BTWN 45 & 46 ST,164,0.028,6140,74828,TRUE,2017-04-25 20:09:41.90864+00,2017-04-25 20:09:41.91+00,0:00:00,0:05:36,0,0.028,2,900
ROAD ISLAND (P.P.),53.44014982,-113.3985109,36 ST - 11 AVE,165,0.007,6140,74829,TRUE,2017-04-25 20:09:41.979753+00,2017-04-25 20:09:41.98+00,0:00:00,0:01:24,0,0.007,3,900
ROAD ISLAND,53.46604928,-113.42359,HILLVIEW CRESENT (53 ST &34 A AVE),166,0.013,6300,74830,TRUE,2017-04-25 20:09:42.141655+00,2017-04-25 20:09:42.14+00,0:00:00,0:02:36,\N,0.013,13,900
Cul de Sac,53.471585,-113.3732625,Between 1921 & 2103 - 37 Ave,169,0.005,6790,74831,TRUE,2017-04-25 20:09:42.286865+00,2017-04-25 20:09:42.29+00,0:00:00,0:01:00,\N,0.005,32,900
Cul de Sac,53.47072251,-113.3732235,Between 1921 & 2103 - 36 Ave,170,0.005,6790,74832,TRUE,2017-04-25 20:09:42.357171+00,2017-04-25 20:09:42.36+00,0:00:00,0:01:00,\N,0.005,33,900
ROAD ISLAND,53.47384301,-113.5516438,39 AVE-ASPEN DRIVE WEST,178,0.019,5020,75742,TRUE,2017-04-25 20:10:55.066588+00,2017-04-25 20:10:55.07+00,0:00:00,0:03:48,0,0.019,,900
