id,GBY,RBV,OKY,ASY,DON,MWD
11.0,12308.3,12678.5,13714.3,16693.9,10414.7,4432.0
14.0,20190.7,13237.7,14474.9,8174.3,13546.5,6418.8
64.0,4086.8,13357.9,6869.2,20368.0,4174.1,10129.2
69.0,4974.7,13019.3,6157.4,19855.1,3499.5,8882.6
72.0,8776.1,11859.4,11182.0,17676.6,7318.5,5772.4
100.0,10843.2,11043.5,10366.1,15492.6,7216.4,3838.6
101.0,10128.7,12558.2,11778.3,16573.6,8671.2,4669.4
103.0,8626.2,10018.1,4026.6,16877.4,914.6,8705.8
106.0,9683.8,8911.7,2498.9,15771.1,1504.3,10004.2
107.0,9847.0,8624.2,3056.7,15483.6,1854.3,9926.5
128.0,14647.7,7206.0,8241.9,11221.4,7879.4,4674.2
132.0,5342.3,12944.7,6387.5,19954.8,3729.6,9716.0
147.0,6669.5,10777.6,5129.4,17787.6,2471.5,7548.9
164.0,14280.2,14101.7,15137.5,13041.7,11837.9,3938.1
165.0,14375.5,14673.0,15708.8,14782.9,12409.2,4534.1
166.0,11262.4,10788.7,11824.6,14804.1,8525.0,3090.4
169.0,13150.1,14958.2,15494.0,18033.4,11630.5,6979.6
170.0,13305.7,15043.0,15649.5,18836.2,11786.1,7206.1
181.0,947.2,16559.8,9624.8,24534.2,7542.0,14263.1
182.0,1134.6,16067.8,9132.7,24042.1,7050.0,13771.0
207.0,19127.6,12160.1,13397.4,7096.8,12483.5,6481.2
217.0,10300.6,12164.3,11230.3,16179.7,8080.6,4275.5
218.0,10400.5,11575.6,10898.1,16024.6,7748.5,4370.7
231.0,14468.7,14293.4,15329.2,14980.5,12029.6,4154.4
232.0,10231.2,12283.2,11349.2,16298.6,8199.5,4394.4
236.0,13323.6,13641.2,14677.0,14556.0,11377.5,3502.3
237.0,14442.2,14500.7,15536.5,13511.1,12236.9,4600.8
255.0,12106.1,12476.3,13512.1,16491.7,10212.5,4229.8
256.0,12339.7,12709.9,13745.7,15123.5,10446.1,4069.7
265.0,11143.2,9015.2,8337.7,13993.4,5490.2,4313.4
266.0,11293.6,9165.6,8488.2,14730.0,5640.6,4169.2
267.0,11022.2,9952.7,9275.2,13841.1,6368.4,3707.9
270.0,6418.4,12063.1,5505.8,19073.2,2847.9,8834.4
276.0,10315.0,13398.3,12720.8,18482.4,8857.4,6578.2
278.0,10188.5,13271.8,12594.4,18356.0,8730.9,6451.7
279.0,6115.5,11542.1,4984.8,18552.2,2326.9,8313.4
280.0,5902.4,11581.7,5024.4,18591.7,2366.5,8353.0
291.0,14085.4,10766.6,12087.3,11575.4,9820.9,1751.1
