pk_site_id,latitude,longitude,yard,distance
6,53.43219593,-113.61602020000001,3,3851.5
11,53.46538095,-113.39476840000002,5,4432
13,53.45277859,-113.5773108,3,6105.1
14,53.41533314,-113.4674006,5,6418.8
15,53.43861792,-113.51552579999999,3,5523.8
16,53.43908529,-113.51611799999999,3,5463.8
19,53.44662182,-113.54295139999999,3,7755.8
21,53.42288077,-113.5109832,3,4487.9
23,53.47190191,-113.59207450000001,3,8417.8
28,53.44904096,-113.53969479999999,3,7949.6
32,53.45142933,-113.57581770000002,3,4943.1
38,53.46709856,-113.5123688,1,4779.4
47,53.46503964,-113.5639002,3,6815.1
50,53.46645287,-113.56674140000001,3,7067.9
53,53.46715388,-113.5885531,3,8178.5
54,53.47257764,-113.599631,3,9612.3
64,53.53620179,-113.44033600000002,0,4086.8
69,53.51814912,-113.4199973,4,3499.5
72,53.48499448,-113.41472340000001,5,5772.4
73,53.44092299,-113.5226604,3,6422
74,53.43983641,-113.52050829999999,3,6182.6
75,53.43955434,-113.5223116,3,5550
93,53.45191419,-113.5734249,3,5854.8
97,53.47191218,-113.58257520000001,3,9026.9
100,53.47648078,-113.4318203,5,3838.6
101,53.47706533,-113.42245790000001,5,4669.4
102,53.45203263,-113.58554409999999,3,5489.6
103,53.51147159,-113.4623148,4,914.6
105,53.46691025,-113.5344493,1,3398.4
106,53.51372262,-113.48130079999999,4,1504.3
107,53.51014172,-113.4792693,4,1854.3
110,53.42017533,-113.5321705,3,3654
112,53.52256414,-113.507368,2,405.1
119,53.46540512,-113.56230819999999,3,6762.2
120,53.46238889999999,-113.56486090000001,3,6818.8
121,53.47144703,-113.59092439999999,3,8305.2
128,53.4660411,-113.47283290000001,5,4674.2
132,53.51875284,-113.4242616,4,3729.6
134,53.46366625,-113.5450078,1,3895.1
135,53.46258265,-113.5420315,1,3583.6
136,53.45468813,-113.55754640000002,3,6488.3
137,53.45632971,-113.5610487,3,5827.8
138,53.45802656,-113.5603199,3,6156.2
147,53.51487708,-113.44290690000001,4,2471.5
152,53.42490752,-113.5327273,3,2598.5
160,53.46848051,-113.57867350000001,3,7617.2
164,53.44181187,-113.4096613,5,3938.1
165,53.44014982,-113.39851090000002,5,4534.1
166,53.46604928,-113.42358999999999,5,3090.4
169,53.471585,-113.3732625,5,6979.6
170,53.47072251,-113.37322350000001,5,7206.1
178,53.47384301,-113.55164380000001,1,2811.7
181,53.5572473,-113.4252652,0,947.2
182,53.55581701,-113.42690729999998,0,1134.6
183,53.46337868,-113.60282140000001,3,8279.9
188,53.46220918,-113.5656414,3,6519.9
194,53.46839614,-113.59126429999999,3,8849.5
195,53.46538185,-113.58588190000002,3,8466.4
196,53.46430204,-113.5902915,3,8586.4
198,53.42434954,-113.53364840000002,3,3609.1
207,53.424986700000005,-113.4648967,5,6481.2
208,53.4595878,-113.5675726,3,5816.5
209,53.4595287,-113.56693529999998,3,5793.9
215,53.46814891,-113.57721310000001,3,7417.4
217,53.47495511,-113.422836,5,4275.5
218,53.47853544,-113.424299,5,4370.7
222,53.42415026,-113.50669309999999,3,4353.3
224,53.46212668,-113.5552896,3,7315.6
225,53.46236321,-113.5575748,3,7193.2
230,53.44934292,-113.53448929999999,3,7389.3
231,53.44562432,-113.397116,5,4154.4
232,53.47406098,-113.41790490000001,5,4394.4
236,53.45106651,-113.39811090000002,5,3502.3
237,53.44011451,-113.40018570000001,5,4600.8
254,53.46240108,-113.55604209999998,3,7293.1
255,53.46321738,-113.3948895,5,4229.8
256,53.45953514,-113.39599229999999,5,4069.7
257,53.46285063,-113.5696253,3,6300.8
260,53.46308305,-113.5650095,3,6743.9
265,53.47890847,-113.45054640000002,5,4313.4
266,53.4813995,-113.44450990000001,5,4169.2
267,53.47586961,-113.4445511,5,3707.9
270,53.52290707,-113.4354382,4,2847.9
276,53.47925609,-113.4022577,5,6578.2
278,53.480126299999995,-113.39999830000001,5,6451.7
279,53.52016614,-113.4404997,4,2326.9
280,53.52033983,-113.44271540000001,4,2366.5
291,53.45275672,-113.44562859999998,5,1751.1
307,53.47807414,-113.42366979999998,5,4383.2
308,53.47925098,-113.42958459999998,5,4067.2
309,53.54472687,-113.45326010000001,0,4073.2
310,53.47935367,-113.43115159999998,5,3995.3
312,53.48748589,-113.5659146,3,11146.5
315,53.44083244,-113.5338155,3,6647
316,53.47059732,-113.5928699,3,8080.3
336,53.48307766,-113.58590120000001,3,9353.8
355,53.43893039,-113.5263314,3,5824.9
356,53.46059016,-113.4965017,1,6210.3
361,53.44016414,-113.53188,3,6684
368,53.47134206,-113.5846554,3,7677.5
380,53.43931923,-113.53029540000001,3,6268.6
381,53.45182828,-113.4381028,5,1578.3
382,53.52806581,-113.47073219999999,4,1659.2
383,53.46695088,-113.42127240000002,5,3368.2
385,53.53191903,-113.4726713,4,2960
386,53.52545463,-113.46194540000002,4,1605.5
388,53.45773177,-113.56996969999999,3,6274.1
391,53.42228606,-113.5132862,3,4309.1
402,53.46369927,-113.45019140000001,5,2676.2
403,53.47911282,-113.4438854,5,3835.7
404,53.47431735,-113.4071166,5,6196
405,53.47069387,-113.39794640000001,5,5494.5
406,53.45386309,-113.46200990000001,5,2789
407,53.45671841,-113.45957369999999,5,3007.3
408,53.45687343,-113.4632328,5,3144.9
410,53.47811545,-113.38758179999999,5,6570
412,53.49022116,-113.5499831,1,2759.5
414,53.48047051,-113.53072220000001,1,2866
417,53.46061429999999,-113.5758159,3,6523.8
432,53.45752248,-113.50235829999998,5,5683.8
433,53.44719173,-113.5135017,1,6508.6
439,53.55772552,-113.4276558,0,1105.4
440,53.53588945,-113.42300230000001,0,3391.1
464,53.4462491,-113.54256000000001,3,7688.2
465,53.48280224,-113.5327217,1,2757.2
466,53.50330887,-113.5227047,2,3681.3
468,53.43896847,-113.40710359999999,5,4025.5
469,53.46767804,-113.4416367,5,2696.7
470,53.45581327,-113.40838600000001,5,2890
476,53.5213299,-113.49756000000001,2,734.7
484,53.45472483,-113.45056770000001,5,2178.7
487,53.45113302,-113.5995119,3,6273.4
510,53.48811433,-113.4580655,4,5300.5
511,53.53669821,-113.46189820000001,4,3388.3
512,53.47711035,-113.5043452,1,4171.6
527,53.46672862,-113.5288315,1,3839.1
529,53.467689799999995,-113.5293848,1,3597.2
530,53.467867000000005,-113.53485049999999,1,3049
534,53.42428779,-113.46306070000001,5,5371.1
535,53.53453969,-113.46702040000001,4,3088.5
536,53.42521698,-113.50902749999999,3,4275.7
538,53.4516189,-113.4239362,5,1624
539,53.47841391,-113.58253959999999,3,9077.2
542,53.519794299999994,-113.4742138,4,1038.1
547,53.45093514,-113.4441409,5,1691.7
548,53.45122102,-113.4407574,5,1680.1
553,53.47821022,-113.39159950000001,5,7001.9
557,53.44043713,-113.5038836,5,7157.7
558,53.46270509,-113.453122,5,2934.1
559,53.47916891,-113.57608119999999,3,9119.8
560,53.48370558,-113.39943319999999,5,6269.8
561,53.51932181,-113.4397248,4,2398.7
562,53.48327856,-113.57368059999999,3,9582
563,53.48233389,-113.5777663,3,9405.8
564,53.48160024,-113.5860969,3,9497.9
565,53.42651738,-113.5202784,3,4576
566,53.48986304,-113.448793,4,4724
568,53.51698107,-113.4182013,0,4991.7
571,53.45870501,-113.6051601,3,8212.2
579,53.46729849,-113.4503892,5,3178.3
590,53.55320893,-113.4135622,0,1423.6
596,53.49914123,-113.4180896,4,5219.9
597,53.48042908,-113.4525123,5,4410.3
598,53.42752392,-113.46877420000001,5,5755.9
602,53.47392437,-113.51280420000002,1,3869.1
603,53.47212387,-113.50446389999999,1,4511.1
604,53.471220200000005,-113.5001519,1,4781.3
605,53.47097272,-113.5127803,1,4281
606,53.482371400000005,-113.54835109999999,1,694.9
607,53.4522277,-113.58048500000001,3,5050.1
609,53.42520833,-113.45531270000001,5,4824.5
614,53.46648414,-113.44256090000002,5,2525.6
615,53.47314712,-113.44776599999999,5,3620.6
618,53.45880153,-113.49559540000001,5,6059.6
619,53.45768479,-113.5682626,3,5701.4
620,53.45726301,-113.57175409999999,3,6118.9
622,53.45721917,-113.5692037,3,5745.4
623,53.45082585,-113.43936370000002,5,1713.6
624,53.44871371,-113.4392548,5,1459.5
625,53.448309200000004,-113.56869909999999,3,4830.2
626,53.4489733,-113.44601100000001,5,1990.1
629,53.482496700000006,-113.4736304,4,6202.6
640,53.48335537,-113.38495879999999,5,7281
642,53.47865242,-113.37917479999999,5,7087.7
643,53.51372686,-113.44100120000002,4,2504
649,53.48532079,-113.51767269999999,1,3974.7
653,53.47857729999999,-113.5604946,3,8698
662,53.47572009,-113.3709659,5,7226.9
665,53.44449059,-113.4921947,5,5222
666,53.42479836,-113.419698,5,5145.6
667,53.42185194,-113.52935690000001,3,3236.5
674,53.45380976,-113.49978329999999,5,5066.1
684,53.50213359,-113.5197294,2,3491.9
685,53.49938942,-113.51345740000001,2,3358.2
690,53.52927571,-113.5347376,2,2967.4
691,53.52514221,-113.53594950000002,2,2528.3
693,53.48356597,-113.45160759999999,5,4919.5
694,53.5228885,-113.4517041,4,1952.3
695,53.44146169,-113.52001059999999,3,6023.7
696,53.45257951,-113.4610376,5,2596.8
699,53.46551089,-113.5367304,1,3144.3
718,53.50285263,-113.5165057,2,3178.5
719,53.50634093,-113.51835109999999,2,2890.2
721,53.504839399999994,-113.51576299999999,2,2893.9
724,53.48643348,-113.4537909,5,5085.5
735,53.50944504,-113.46676070000001,4,2074.8
744,53.44692679,-113.5408466,3,7638.1
747,53.44958738,-113.57644979999999,3,4761.1
752,53.49984532,-113.51366110000001,2,3356.2
761,53.43804279,-113.5716399,3,3181.7
764,53.42187192,-113.5308922,3,3359.4
769,53.42995528,-113.51260249999999,3,4440.8
773,53.47087639,-113.4185957,5,4141.1
777,53.44096431,-113.3942473,5,4861.8
781,53.46754635,-113.42239620000001,5,3234.4
786,53.4680613,-113.38650619999999,5,5743.6
787,53.42230666,-113.46684909999999,5,5708.8
789,53.45895751,-113.45680449999999,5,2643.9
791,53.46791503,-113.5234824,1,3904.3
792,53.47190747,-113.5323027,1,2522.8
793,53.44114538,-113.4013158,5,4303.3
807,53.50627725,-113.53650549999999,2,3950.6
809,53.52644386,-113.45410919999999,4,2415.4
813,53.46592525,-113.56589840000002,3,6951.3
814,53.47994354,-113.52902320000001,1,2702.7
820,53.45229309,-113.4495041,5,2677
821,53.48126055,-113.53599309999998,1,2601.8
822,53.43670696,-113.5383577,3,6857.9
823,53.43827893,-113.5383332,3,6772.2
825,53.51348259,-113.47519399999999,4,1402.6
826,53.52278344,-113.495112,2,814.3
827,53.51638268,-113.5217269,2,1937.9
841,53.52354243,-113.4443855,4,2466.9
859,53.47412343,-113.46827009999998,5,5002.8
861,53.44216316,-113.5329408,3,6905.5
862,53.47579203,-113.4586733,5,4386.7
863,53.47758279,-113.45299920000001,5,4210.3
881,53.50248620000001,-113.45885,4,3307.7
882,53.46162335,-113.5889866,3,8287.1
883,53.53870576,-113.4795739,2,3992.7
886,53.41970377,-113.50991599999999,3,4409.1
897,53.47438396,-113.52003909999998,1,3096.1
898,53.47547724,-113.5201007,1,3500.4
906,53.47279653,-113.3993744,5,5891.1
909,53.46483969,-113.5767544,3,7093.3
910,53.45234693,-113.4600996,5,2450.3
926,53.52461864,-113.4895913,2,1194.2
929,53.42888437,-113.4955783,3,5833.9
930,53.49932034,-113.5778442,3,11101.3
931,53.43810876,-113.54185290000001,3,7203.4
