SORT,Lead (NEIGHBOURHOOD route),service_site_ID,Neighborhood,Adddress,Service_level,"X""s",PINSITE_ID,PKSITE_NO,service_location_name,DESCRIPTION,SITE#,lat,long,service_area,580D,72GM,580D Rate,72GM Rate,Service-Duration for 580D,Service-Duration for 72GM,Old District,Weekend/School Route,2017 WIP Area,SLIM_AREA,NOTES,,,,,,,,
1,KINISKI GARDENS,37,KINISKI GARDENS,NORTH OF 3453-35 ST,B1,11,11,11,MILL CREEK RAVINE/NEIGHBOURHOOD PARK,NORTH OF 3453 - 35 ST,325,53.465380950,-113.394768400,0.0340,,0.034,2,0.3,0:00:00,0:06:48,SE,,,,,,,,,,,,
2,SUMMERSIDE,,SUMMERSIDE,88 St: West Side Summerside Grande Blvd - Savaryn Drive,B1,11,14,14,BLVD,88 St: Summerside Grande Blvd - Savaryn Drive,,53.415333140,-113.467400600,0.1140,0.000,0.114,2,0.3,0:00:00,0:22:48,SE,,,,,,,,,,,,
3,OTTEWELL,7,OTTEWELL,74 ST-96B AVE,B1,11,64,64,NEIGHBOURHOOD PARK,74 ST - 96B AVE,7,53.536201790,-113.440336000,0.5680,0.085,0.483,2,0.3,0:02:33,1:36:36,SE,,,,,,,,,,,,
4,KENILWORTH,10,        ,82 AVE-W OF 50 ST,B1,11,69,69,ROAD ISLAND/BUS STOP,82 AVE - W OF 50 ST,10,53.518149120,-113.419997300,0.0320,,0.032,2,0.3,0:00:00,0:06:24,SE,,,,,,,,,,,,
5,JACKSON HEIGHTS,25,JACKSON HEIGHTS,N/S SIDE BTWN 50 ST & JACKSON ROAD,B1,11,72,72,ROADWAY BLVD JAMHA ROAD,N SIDE BTWN JARVIS CRES & JACKSON ROAD,28,53.484994480,-113.414723400,0.0230,0.000,0.023,2,0.3,0:00:00,0:04:36,SE,,,,,,,,,,,,
6,GREENVIEW,20,GREENVIEW,GRAND MEADOW CRESENT - E. OF 62 ST,B1,11,100,100,ROAD ISLAND,GRAND MEADOW CRESENT - E. OF 62 ST,20,53.476480780,-113.431820300,0.0080,,0.008,2,0.3,0:00:00,0:01:36,SE,,,,,,,,,,,,
7,GREENVIEW,17,GREENVIEW,56 ST - 41 AVE,B1,11,101,101,ROAD ISLAND,56 ST - 41 AVE,17,53.477065330,-113.422457900,0.0480,,0.048,2,0.3,0:00:00,0:09:36,SE,,,,,,,,,,,,
8,AVONMORE,2,AVONMORE,89 ST-75 AVE,B1,11,103,103,PARK/ROAD ISLAND,89 ST - 75 AVE,2,53.511471590,-113.462314800,0.3210,0.048,0.273,2,0.3,0:01:26,0:54:36,SE,,,,,,,,,,,,
9,RITCHIE,3,RITCHIE,98 ST-77 AVE,B1,11,106,106,RITCHIE C.L./NEIGHBOURHOOD PARK,98 ST - 77 AVE,3,53.513722620,-113.481300800,1.2810,0.192,1.089,2,0.3,0:05:46,3:37:48,SE,,,,,,,,,,,,
10,RITCHIE,4,RITCHIE,97 ST-74 AVE,B1,11,107,107,LILIPUT PARK/PLGD,97 ST - 74 AVE,4,53.510141720,-113.479269300,0.1170,,0.117,2,0.3,0:00:00,0:23:24,SE,,,,,,,,,,,,
